"","fvegHW90mask","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,40.4547004699707,106.291999816895,25.8712997436523,138.324401855469,3.47300004959106,9.28929996490479,19.7959995269775,24.8241004943848,6.63180017471313,-194169.893814084,-15978.8995068283
"2",15,40.4547004699707,106.291999816895,25.8712997436523,138.324401855469,3.47300004959106,9.28929996490479,19.7959995269775,24.8241004943848,6.63180017471313,-194169.893814084,-15978.8995068283
"3",15,32.2327003479004,113.397300720215,25.8243007659912,139.139801025391,3.24219989776611,9.06330013275146,19.7070007324219,24.5503997802734,6.50899982452393,-192999.041555956,-16999.1007623272
"4",2,145.011703491211,17.125,47.8042984008789,164.4208984375,4.93499994277954,9.85599994659424,23.8703002929688,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"5",2,145.011703491211,17.125,47.8042984008789,164.4208984375,4.93499994277954,9.85599994659424,23.8703002929688,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"6",2,145.011703491211,17.125,47.8042984008789,164.4208984375,4.93499994277954,9.85599994659424,23.8703002929688,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"7",7,108.091003417969,43.8256988525391,51.7027015686035,194.489807128906,5.4556999206543,7.58430004119873,23.3859996795654,30.8628997802734,1.19719994068146,-43650.9229338423,47849.6928405031
"8",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"9",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"10",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"11",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"12",15,77.7809982299805,84.3057022094727,36.109001159668,141.093307495117,3.60689997673035,9.33899974822998,25.0699996948242,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"13",15,77.7809982299805,84.3057022094727,36.109001159668,141.093307495117,3.60689997673035,9.33899974822998,25.0699996948242,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"14",15,45.068000793457,121.012001037598,31.9162998199463,129.08869934082,3.05369997024536,9.88329982757568,26.1966991424561,33.6417999267578,2.77239990234375,-48344.0911905888,1945.34581969632
"15",15,45.068000793457,121.012001037598,31.9162998199463,129.08869934082,3.05369997024536,9.88329982757568,26.1966991424561,33.6417999267578,2.77239990234375,-48344.0911905888,1945.34581969632
"16",15,77.7809982299805,84.3057022094727,36.109001159668,141.093307495117,3.60689997673035,9.33899974822998,25.0699996948242,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"17",15,34.8462982177734,130.837005615234,32.190299987793,129.99560546875,3.08089995384216,9.86569976806641,26.1352996826172,33.5635986328125,2.82189989089966,-48386.8847552149,2123.46428091312
"18",15,31.1837005615234,115.856300354004,24.6940002441406,138.433197021484,2.77740001678467,9.5600004196167,19.9752998352051,24.8239002227783,6.84100008010864,-197123.14366109,-10595.3690548744
"19",2,45.2237014770508,98.7730026245117,26.3262996673584,141.555603027344,3.17170000076294,9.35669994354248,19.6797008514404,24.6506996154785,6.83279991149902,-195854.824010594,-11494.876327686
"20",15,45.9163017272949,97.5336990356445,26.8483009338379,142.013900756836,3.46320009231567,9.02600002288818,19.6362991333008,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"21",15,28.8836994171143,121.273002624512,23.0916996002197,129.965301513672,2.53060007095337,9.78269958496094,20.8703002929688,24.6940002441406,5.79360008239746,-198726.671978904,-9216.18251393503
"22",15,60.7610015869141,83.6790008544922,26.75830078125,141.807998657227,3.6159999370575,8.80830001831055,19.6443004608154,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"23",15,45.9163017272949,97.5336990356445,26.8483009338379,142.013900756836,3.46320009231567,9.02600002288818,19.6362991333008,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"24",15,127.183296203613,20.7966995239258,24.24169921875,136.21110534668,2.74379992485046,9.39169979095459,20.3267002105713,25.0223999023438,6.48070001602173,-197354.901152899,-11330.4568272587
"25",15,116.628997802734,32.1209983825684,22.4097003936768,129.157897949219,2.49559998512268,9.72729969024658,20.8486995697021,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"26",15,39.2117004394531,109.934997558594,22.6797008514404,130.31379699707,2.53999996185303,9.6540002822876,21.0189990997314,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"27",15,126.892303466797,22.6842994689941,22.3509998321533,127.366096496582,2.36730003356934,9.89869976043701,20.6972999572754,24.051700592041,5.83720016479492,-198798.868549884,-9628.11703160359
"28",15,45.9163017272949,97.5336990356445,26.8483009338379,142.013900756836,3.46320009231567,9.02600002288818,19.6362991333008,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"29",15,127.183296203613,20.7966995239258,24.24169921875,136.21110534668,2.74379992485046,9.39169979095459,20.3267002105713,25.0223999023438,6.48070001602173,-197354.901152899,-11330.4568272587
