"","fvegHW90mask","aetmar_90m","cwdmar_90m","pptmar_90m","pptdjf_90m","pptjja_90m","tmnmar_90m","tmxmar_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",7,68.9322967529297,0,187.365997314453,194.489807128906,5.4556999206543,2.84870004653931,16.2966995239258,30.8628997802734,1.19719994068146,-43627.9471831607,47875.3613078413
"2",2,75.7873001098633,0,156.861297607422,164.4208984375,4.93499994277954,4.65630006790161,16.0016994476318,31.8910007476807,2.99090003967285,-55925.0855327361,45614.8672899222
"3",7,68.9322967529297,0,187.365997314453,194.489807128906,5.4556999206543,2.84870004653931,16.2966995239258,30.8628997802734,1.19719994068146,-43627.9471831607,47875.3613078413
"4",2,75.7873001098633,0,156.861297607422,164.4208984375,4.93499994277954,4.65630006790161,16.0016994476318,31.8910007476807,2.99090003967285,-55925.0855327361,45614.8672899222
"5",15,72.2266998291016,0,168.903305053711,194.39289855957,6.54040002822876,6.64569997787476,17.5352993011475,32.7186012268066,4.39989995956421,-124568.718445102,168215.603038653
"6",15,76.0073013305664,0.152700006961823,132.751998901367,141.807998657227,3.6159999370575,7.48299980163574,15.4689998626709,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"7",15,74.1066970825195,0,111.234298706055,134.20280456543,2.6149001121521,7.32270002365112,16.5177001953125,24.9491004943848,6.19619989395142,-197580.097708628,-11158.3172254134
"8",15,75.0066986083984,0,115.569297790527,136.21110534668,2.74379992485046,7.41029977798462,16.2339992523193,25.0223999023438,6.48070001602173,-197295.971064687,-11438.6040162891
"9",15,75.0066986083984,0,115.569297790527,136.21110534668,2.74379992485046,7.41029977798462,16.2339992523193,25.0223999023438,6.48070001602173,-197295.971064687,-11438.6040162891
"10",15,73.9432983398438,0,103.607696533203,129.157897949219,2.49559998512268,7.16099977493286,17.1599998474121,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"11",15,73.9432983398438,0,103.607696533203,129.157897949219,2.49559998512268,7.16099977493286,17.1599998474121,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"12",15,74.5979995727539,1.07200002670288,94.2767028808594,118.796096801758,1.90429997444153,7.56330013275146,17.5657005310059,25.9458999633789,5.92509984970093,-202725.357377132,-4892.24739813153
"13",15,76.4567031860352,0,84.2050018310547,110.173400878906,1.40840005874634,6.88570022583008,17.8619995117188,29.2574005126953,5.09019994735718,-186381.127752862,-4513.5228079115
"14",15,76.4567031860352,0,84.2050018310547,110.173400878906,1.40840005874634,6.88570022583008,17.8619995117188,29.2574005126953,5.09019994735718,-186381.127752862,-4513.5228079115
"15",15,76.4567031860352,0,84.2050018310547,110.173400878906,1.40840005874634,6.88570022583008,17.8619995117188,29.2574005126953,5.09019994735718,-186381.127752862,-4513.5228079115
"16",15,75.6212997436523,0.112000003457069,132.035003662109,141.698593139648,3.50959992408752,7.40000009536743,15.6443004608154,24.5879993438721,6.57019996643066,-195281.237285343,-12579.9625289664
"17",15,76.2512969970703,0,126.34529876709,135.676605224609,3.27859997749329,6.05800008773804,17.7812995910645,32.6548004150391,3.77620005607605,-83234.7160098726,89985.1919068699
"18",15,76.2512969970703,0,126.34529876709,135.676605224609,3.27859997749329,6.05800008773804,17.7812995910645,32.6548004150391,3.77620005607605,-83234.7160098726,89985.1919068699
"19",15,75.6076965332031,0,127.460296630859,138.755004882812,3.50169992446899,6.02600002288818,17.68869972229,32.5638008117676,3.6686999797821,-77527.5623515103,87662.9181658272
"20",15,75.6076965332031,0,127.460296630859,138.755004882812,3.50169992446899,6.02600002288818,17.68869972229,32.5638008117676,3.6686999797821,-77527.5623515103,87662.9181658272
"21",9,NA,NA,115.409698486328,125.892997741699,3.26810002326965,6.46969985961914,18.0016994476318,32.782600402832,4.11770009994507,-90579.4186585723,84425.9507830814
"22",15,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90966.2241282366,84454.6731033647
"23",15,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90966.2241282366,84454.6731033647
"24",15,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90967.9598885326,84454.6922930074
"25",15,73.8187026977539,0.0303000006824732,118.176300048828,129.328994750977,3.28220009803772,6.17770004272461,17.7353000640869,32.6327018737793,3.84910011291504,-90421.1951955777,84448.6656639306
"26",15,73.8187026977539,0.0303000006824732,118.176300048828,129.328994750977,3.28220009803772,6.17770004272461,17.7353000640869,32.6327018737793,3.84910011291504,-90421.1951955777,84448.6656639306
"27",15,NA,NA,115.409698486328,125.892997741699,3.26810002326965,6.46969985961914,18.0016994476318,32.782600402832,4.11770009994507,-90628.962740982,84340.9033275181
"28",15,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90967.9598885326,84454.6922930074
"29",15,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90967.9598885326,84454.6922930074
"30",15,63.6946983337402,0.862999975681305,113.688697814941,152.966995239258,2.54320001602173,2.83170008659363,17.3637008666992,32.219799041748,0.891099989414215,-243347.741396525,114929.953181879
"31",15,63.6946983337402,0.862999975681305,113.688697814941,152.966995239258,2.54320001602173,2.83170008659363,17.3637008666992,32.219799041748,0.891099989414215,-243347.741396525,114929.953181879
