"","fvegHW90mask","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,43.2286987304688,0.0907000005245209,138.026306152344,140.455001831055,3.58010005950928,3.18630003929138,15.0417003631592,33.1100006103516,2.38369989395142,-41311.0206881928,3981.13473708555
"2",15,43.2286987304688,0.0907000005245209,138.026306152344,140.455001831055,3.58010005950928,3.18630003929138,15.0417003631592,33.1100006103516,2.38369989395142,-41311.0206881928,3981.13473708555
"3",4,42.8633003234863,0,142.422302246094,137.328002929688,2.72709989547729,7.55530023574829,14.3629999160767,25.1030006408691,6.83010005950928,-197569.268971286,-10369.0667945175
"4",15,41.684700012207,0,113.843696594238,112.473297119141,1.43939995765686,5.92129993438721,15.5473003387451,29.1856002807617,5.12309980392456,-186384.322843018,-4656.10292459093
"5",15,43.3499984741211,0,148.356704711914,141.698593139648,3.50959992408752,7.31500005722046,13.5846996307373,24.5879993438721,6.57019996643066,-195281.237285343,-12579.9625289664
"6",8,40.8613014221191,0,130.906997680664,129.523895263672,3.2846999168396,5.02899980545044,15.226300239563,32.6509017944336,3.92309999465942,-90517.9201564485,84729.8515169392
"7",15,NA,NA,127.458297729492,125.859100341797,3.26519989967346,5.28429985046387,15.3443002700806,32.7643013000488,4.15420007705688,-90967.9598885326,84454.6922930074
"8",15,NA,NA,127.544700622559,125.892997741699,3.26810002326965,5.24300003051758,15.3590002059937,32.782600402832,4.11770009994507,-90628.962740982,84340.9033275181
"9",15,NA,NA,127.544700622559,125.892997741699,3.26810002326965,5.24300003051758,15.3590002059937,32.782600402832,4.11770009994507,-90628.962740982,84340.9033275181
"10",15,NA,NA,127.544700622559,125.892997741699,3.26810002326965,5.24300003051758,15.3590002059937,32.782600402832,4.11770009994507,-90628.962740982,84340.9033275181
"11",15,NA,NA,127.544700622559,125.892997741699,3.26810002326965,5.24300003051758,15.3590002059937,32.782600402832,4.11770009994507,-90628.962740982,84340.9033275181
"12",15,41.043701171875,0.254299998283386,127.932998657227,126.001899719238,3.26719999313354,5.09700012207031,15.2372999191284,32.7202987670898,3.99009990692139,-90858.8333289026,84802.416885912
"13",8,40.8613014221191,0,130.906997680664,129.523895263672,3.2846999168396,5.02899980545044,15.226300239563,32.6509017944336,3.92309999465942,-90517.9201564485,84729.8515169392
"14",15,NA,NA,127.458297729492,125.859100341797,3.26519989967346,5.28429985046387,15.3443002700806,32.7643013000488,4.15420007705688,-90967.9598885326,84454.6922930074
