"","fvegHW90mask","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,356.733306884766,828.123291015625,560.583312988281,103.718002319336,1.85010004043579,9.02330017089844,20.9433002471924,27.1721000671387,5.09560012817383,-162215.532730336,-51905.5485201939
"2",15,356.733306884766,828.123291015625,560.583312988281,103.718002319336,1.85010004043579,9.02330017089844,20.9433002471924,27.1721000671387,5.09560012817383,-162215.532730336,-51905.5485201939
"3",15,394.743286132812,788.36669921875,754.586669921875,138.324401855469,3.47300004959106,9.60669994354248,19.176700592041,24.8241004943848,6.63180017471313,-194169.893814084,-15978.8995068283
"4",15,394.743286132812,788.36669921875,754.586669921875,138.324401855469,3.47300004959106,9.60669994354248,19.176700592041,24.8241004943848,6.63180017471313,-194169.893814084,-15978.8995068283
"5",15,366.336700439453,811.056701660156,758.103271484375,139.139801025391,3.24219989776611,9.58329963684082,18.9633007049561,24.5503997802734,6.50899982452393,-192999.041555956,-16999.1007623272
"6",15,366.336700439453,811.056701660156,758.103271484375,139.139801025391,3.24219989776611,9.58329963684082,18.9633007049561,24.5503997802734,6.50899982452393,-192999.041555956,-16999.1007623272
"7",15,364.136688232422,832.390014648438,612.840026855469,115.443199157715,1.63909995555878,9.10669994354248,20.9932994842529,27.8318004608154,5.50559997558594,-168245.018291398,-41888.4940552847
"8",2,416.910003662109,799.760009765625,419.303314208984,78.2553024291992,1.35629999637604,10.2433004379272,20.3932991027832,24.7957992553711,6.15040016174316,-184369.052890319,-49867.6470616302
"9",2,341.586700439453,880.38330078125,420.630004882812,78.4525985717773,1.42229998111725,10.1533002853394,20.4400005340576,24.8957004547119,6.06510019302368,-184421.972361086,-49466.1883878843
"10",15,365.396697998047,815.799987792969,686.659973144531,126.655403137207,2.08979988098145,8.17329978942871,20.2900009155273,26.0818004608154,4.4766001701355,-188828.910472706,-21191.1179356603
"11",5,394.209991455078,797.849975585938,749.426696777344,137.791595458984,2.76220011711121,9.73999977111816,19.1000003814697,24.7523994445801,6.75419998168945,-192363.346122882,-19620.2521464461
"12",9,489.146697998047,765.609985351562,529.63330078125,102.97200012207,2.07629990577698,8.39330005645752,24.1399993896484,33.7747001647949,3.02320003509521,-189490.49786829,92794.8119197325
"13",7,488.256713867188,678.349975585938,1152.52001953125,194.489807128906,5.4556999206543,6.68669986724854,21.2066993713379,30.8628997802734,1.19719994068146,-43627.9471831607,47875.3613078413
"14",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-55925.0855327361,45614.8672899222
"15",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-55929.4454167612,45614.8967847722
"16",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-55929.4454167612,45614.8967847722
"17",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-55929.4454167612,45614.8967847722
"18",7,488.256713867188,678.349975585938,1152.52001953125,194.489807128906,5.4556999206543,6.68669986724854,21.2066993713379,30.8628997802734,1.19719994068146,-43627.9471831607,47875.3613078413
"19",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-55925.0855327361,45614.8672899222
"20",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"21",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"22",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"23",7,488.256713867188,678.349975585938,1152.52001953125,194.489807128906,5.4556999206543,6.68669986724854,21.2066993713379,30.8628997802734,1.19719994068146,-43650.9229338423,47849.6928405031
"24",2,597.450012207031,679.466674804688,973.663330078125,164.4208984375,4.93499994277954,8.93669986724854,22.176700592041,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"25",15,444.63330078125,796.293273925781,1101.59997558594,194.39289855957,6.54040002822876,9.98999977111816,22.8267002105713,32.7186012268066,4.39989995956421,-124568.718445102,168215.603038653
"26",15,444.63330078125,796.293273925781,1101.59997558594,194.39289855957,6.54040002822876,9.98999977111816,22.8267002105713,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"27",15,444.63330078125,796.293273925781,1101.59997558594,194.39289855957,6.54040002822876,9.98999977111816,22.8267002105713,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"28",15,444.63330078125,796.293273925781,1101.59997558594,194.39289855957,6.54040002822876,9.98999977111816,22.8267002105713,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"29",15,444.63330078125,796.293273925781,1101.59997558594,194.39289855957,6.54040002822876,9.98999977111816,22.8267002105713,32.7186012268066,4.39989995956421,-124569.594484186,168214.505113896
"30",15,445.976715087891,790.530029296875,1123.32666015625,198.037796020508,6.67980003356934,9.83329963684082,22.7933006286621,32.6682014465332,4.21439981460571,-124401.204565259,168213.042660625
"31",15,445.976715087891,790.530029296875,1123.32666015625,198.037796020508,6.67980003356934,9.83329963684082,22.7933006286621,32.6682014465332,4.21439981460571,-124401.204565259,168213.042660625
"32",15,445.976715087891,790.530029296875,1123.32666015625,198.037796020508,6.67980003356934,9.83329963684082,22.7933006286621,32.6682014465332,4.21439981460571,-124401.204565259,168213.042660625
"33",15,353.436706542969,947.286682128906,743.286682128906,129.99560546875,3.08089995384216,8.60669994354248,23.4799995422363,33.5635986328125,2.82189989089966,-48386.8847552149,2123.46428091312
"34",15,465.320007324219,816.336669921875,805.433288574219,141.093307495117,3.60689997673035,8.26669979095459,22.8999996185303,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"35",15,353.436706542969,947.286682128906,743.286682128906,129.99560546875,3.08089995384216,8.60669994354248,23.4799995422363,33.5635986328125,2.82189989089966,-48386.8847552149,2123.46428091312
"36",15,465.320007324219,816.336669921875,805.433288574219,141.093307495117,3.60689997673035,8.26669979095459,22.8999996185303,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
"37",15,465.320007324219,816.336669921875,805.433288574219,141.093307495117,3.60689997673035,8.26669979095459,22.8999996185303,33.0152015686035,2.45359992980957,-41591.801406638,4176.63448273297
