"","fvegHW90mask","bird90","mammal90","reptile90","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,153,47,22,42.5519981384277,0,106.572303771973,104.628898620605,1.85780000686646,4.73799991607666,15.5286998748779,27.8148994445801,3.99469995498657,-148939.870183336,-46849.0440850328
"2",15,189,47,17,43.3662986755371,0,113.666702270508,113.610702514648,1.77530002593994,6.37430000305176,15.6743001937866,23.6702003479004,5.65899991989136,-185044.01966072,-30961.0194165003
"3",5,187,50,16,44.310001373291,0,92.9459991455078,89.8442993164062,1.49600005149841,7.05200004577637,16.0450000762939,24.7115993499756,6.08869981765747,-180576.241105652,-41377.5457223668
"4",15,155,47,22,43.5077018737793,0,106.266296386719,104.012199401855,1.83290004730225,5.35200023651123,15.6436996459961,27.4743995666504,4.84810018539429,-161904.781861026,-54090.8079870422
"5",5,192,47,16,43.6100006103516,0,119.151000976562,115.477996826172,1.85909998416901,7.730299949646,15.8839998245239,22.2527008056641,6.94379997253418,-197295.956817069,-18114.9393746168
"6",15,155,47,22,42.6957015991211,1.31200003623962,107.200302124023,104.814399719238,1.8507000207901,5.29670000076294,15.8583002090454,27.6131992340088,4.7613000869751,-161392.045936887,-54191.8861872251
"7",15,155,47,22,42.3452987670898,0,108.452003479004,106.350601196289,1.85319995880127,5.40030002593994,15.4617004394531,27.1420993804932,4.98509979248047,-160940.359650387,-55448.0846812935
"8",2,142,55,21,41.2433013916016,0,162.822296142578,164.4208984375,4.93499994277954,3.58599996566772,13.8566999435425,31.8910007476807,2.99090003967285,-55925.093052418,45613.7556982441
"9",7,133,58,17,34.765998840332,0,187.694000244141,194.489807128906,5.4556999206543,1.69500005245209,13.9777002334595,30.8628997802734,1.19719994068146,-43627.9471831584,47875.3613078441
"10",2,142,55,21,41.2433013916016,0,162.822296142578,164.4208984375,4.93499994277954,3.58599996566772,13.8566999435425,31.8910007476807,2.99090003967285,-55925.0855327338,45614.867289925
"11",15,144,64,20,18.4213008880615,0,325.21630859375,337.016815185547,17.3502006530762,-0.146699994802475,12.2966995239258,32.8386993408203,-0.622699975967407,-160823.316340722,335430.704401167
"12",1,123,65,11,0,0,151.905700683594,163.605697631836,20.8948993682861,-6.54530000686646,6.0282998085022,23.224100112915,-6.54809999465942,-132410.09132908,279118.282037865
"13",7,132,57,19,28.5746994018555,0,322.197692871094,330.636199951172,10.0117998123169,2.03800010681152,11.7546997070312,28.6961002349854,2.16420006752014,-115379.454444657,186898.218268153
"14",15,172,48,18,37.2667007446289,0,161.092300415039,165.327896118164,5.50860023498535,5.37629985809326,15.5087003707886,33.4430999755859,4.21799993515015,-128780.269211328,168247.767300929
"15",15,173,50,18,36.6032981872559,0,184.266006469727,193.020401000977,6.45629978179932,5.59070014953613,15.0396995544434,32.7932014465332,4.54879999160767,-124569.443245095,168336.748372266
"16",15,176,51,18,NA,NA,184.336303710938,192.967193603516,6.52330017089844,5.65229988098145,15.0550003051758,32.9408988952637,4.60200023651123,-124380.432481622,169572.9807588
"17",15,165,46,18,39.442699432373,0,138.730697631836,140.7998046875,4.27729988098145,5.12270021438599,15.3549995422363,33.4029998779297,4.00839996337891,-118326.800776996,140770.381042508
"18",15,175,51,18,NA,NA,184.469696044922,193.02180480957,6.51669979095459,5.65869998931885,15.0559997558594,32.9514007568359,4.61569976806641,-124225.407177184,169485.709787298
"19",15,174,49,18,36.7863006591797,0,183.300704956055,191.877593994141,6.41190004348755,5.55970001220703,15.0482997894287,32.8047981262207,4.50890016555786,-124835.696250672,168450.401591875
"20",15,166,47,18,43.5833015441895,0.0970000028610229,138.52799987793,141.093307495117,3.60689997673035,3.27230000495911,14.9427003860474,33.0152015686035,2.45359992980957,-41591.8014066358,4176.63448273437
"21",15,135,56,20,37.4770011901855,0,165.656997680664,167.028396606445,4.78200006484985,2.01370000839233,14.2040004730225,31.2451992034912,1.36440002918243,-45549.6324943,39330.4579778598
"22",15,166,47,18,43.2286987304688,0.0907000005245209,138.026306152344,140.455001831055,3.58010005950928,3.18630003929138,15.0417003631592,33.1100006103516,2.38369989395142,-41311.0206881905,3981.13473708695
"23",15,189,48,17,42.1967010498047,0,140.392303466797,135.623992919922,2.71160006523132,7.34999990463257,14.5403003692627,25.1986999511719,6.67990016937256,-197185.495577201,-10075.7089178674
"24",5,193,48,18,42.5466995239258,0,136.639007568359,132.375900268555,2.56270003318787,6.95529985427856,14.8166999816895,25.3696002960205,6.33799982070923,-198875.26556218,-10252.3401480969
"25",15,189,48,17,42.0867004394531,0,136.783004760742,132.591705322266,2.58669996261597,6.90829992294312,14.7760000228882,25.6018009185791,6.25699996948242,-197585.315510045,-9935.01274179853
"26",15,191,48,17,41.0157012939453,0,133.926300048828,130.118698120117,2.50469994544983,6.4387001991272,15.2019996643066,24.2800998687744,5.8270001411438,-198318.115717884,-10462.4557697559
"27",4,189,48,17,42.8633003234863,0,142.422302246094,137.328002929688,2.72709989547729,7.55530023574829,14.3629999160767,25.1030006408691,6.83010005950928,-197569.268971283,-10369.0667945161
"28",15,192,48,18,42.926700592041,0,134.598999023438,130.88020324707,2.55310010910034,7.16669988632202,14.7347002029419,25.5741996765137,6.53310012817383,-198066.090908126,-8620.33977073198
"29",2,189,48,17,42.6800003051758,0,142.095001220703,137.130401611328,2.81489992141724,7.41429996490479,14.4020004272461,25.5589008331299,6.69840002059937,-197243.934686292,-10540.2443251791
"30",2,191,48,18,42.5532989501953,0,134.542297363281,130.790802001953,2.58200001716614,6.86129999160767,14.8332996368408,25.7418003082275,6.25769996643066,-197932.860586406,-8667.98922231561
"31",4,195,48,18,42.1063003540039,0,130.085998535156,126.894798278809,2.33189988136292,6.37169981002808,15.4503002166748,23.7985992431641,5.7701997756958,-199181.564161154,-9140.81201261561
"32",8,191,48,17,42.5637016296387,0,124.009696960449,121.831596374512,2.1159999370575,6.28900003433228,15.5229997634888,27.084400177002,5.6217999458313,-197845.291153379,-5503.14401149098
"33",15,196,49,17,40.4786987304688,0,117.261703491211,116.039001464844,1.87660002708435,6.1532998085022,15.5677003860474,27.0538005828857,5.43499994277954,-199174.209273954,-2193.84883346781
"34",15,191,46,15,41.684700012207,0,113.843696594238,112.473297119141,1.43939995765686,5.92129993438721,15.5473003387451,29.1856002807617,5.12309980392456,-186384.322843016,-4656.10292458953
"35",15,190,47,17,43.3499984741211,0,148.356704711914,141.698593139648,3.50959992408752,7.31500005722046,13.5846996307373,24.5879993438721,6.57019996643066,-195281.237285341,-12579.962528965
"36",5,170,47,19,39.6446990966797,0,160.978698730469,163.720397949219,4.34759998321533,3.30870008468628,14.8802995681763,32.3291015625,2.33870005607605,-73662.0578948159,74400.6630221955
"37",15,138,57,22,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72685.4535638358,99324.3932892545
