"","fvegHW90mask","bird90","mammal90","reptile90","aetjun_90m","cwdjun_90m","pptjun_90m","pptdjf_90m","pptjja_90m","tmnjun_90m","tmxjun_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",5,192,47,16,3.76999998092651,157.373306274414,3.76999998092651,115.477996826172,1.85909998416901,12.3577003479004,21.9533004760742,22.2527008056641,6.94379997253418,-197295.956817069,-18114.9393746168
"2",5,187,50,16,7.87400007247925,159.969299316406,3.31069993972778,89.8442993164062,1.49600005149841,12.9483003616333,23.9612998962402,24.7115993499756,6.08869981765747,-180576.241105652,-41377.5457223668
"3",15,190,48,17,6.48330020904541,153.856704711914,6.48330020904541,139.139801025391,3.24219989776611,11.1477003097534,22.6222991943359,24.5503997802734,6.50899982452393,-192999.041555954,-16999.1007623272
"4",15,176,49,18,3.7846999168396,159.151992797852,3.7846999168396,115.443199157715,1.63909995555878,11.0819997787476,25.7712993621826,27.8318004608154,5.50559997558594,-168245.018291396,-41888.4940552819
"5",2,198,48,16,24.7222995758057,141.97770690918,2.99169993400574,78.2553024291992,1.35629999637604,13.1319999694824,23.9389991760254,24.7957992553711,6.15040016174316,-184369.052890317,-49867.6470616288
"6",2,199,48,16,3.19429993629456,164.639007568359,3.19429993629456,78.4525985717773,1.42229998111725,13.0487003326416,24.1096992492676,24.8957004547119,6.06510019302368,-184421.972361084,-49466.1883878843
"7",7,133,58,17,33.1943016052246,138.845703125,13.4022998809814,194.489807128906,5.4556999206543,10.8066997528076,28.153299331665,30.8628997802734,1.19719994068146,-43627.9471831584,47875.3613078441
"8",2,142,55,21,65.581298828125,118.851997375488,12.5349998474121,164.4208984375,4.93499994277954,13.3482999801636,29.11669921875,31.8910007476807,2.99090003967285,-55925.0855327338,45614.867289925
"9",15,166,47,18,6.63030004501343,178.673004150391,6.63030004501343,129.99560546875,3.08089995384216,13.1637001037598,31.1417007446289,33.5635986328125,2.82189989089966,-48386.8847552126,2123.46428091452
"10",15,189,48,17,5.34369993209839,154.606292724609,5.34369993209839,138.433197021484,2.77740001678467,10.8253002166748,23.0610008239746,24.8239002227783,6.84100008010864,-197123.143661087,-10595.369054873
"11",15,147,46,24,2.4653000831604,167.891296386719,2.4653000831604,117.584197998047,1.0654000043869,14.0170001983643,27.2556991577148,29.364200592041,4.83059978485107,-129179.884444367,-97995.9272231651
"12",15,189,47,17,8.70870018005371,150.544692993164,7.23899984359741,141.807998657227,3.6159999370575,11.0286998748779,22.7273006439209,24.5475997924805,6.72709989547729,-195112.663235061,-12851.1224480169
"13",15,190,47,17,6.95970010757446,151.266998291016,6.70069980621338,142.013900756836,3.46320009231567,11.0100002288818,22.7439994812012,24.4894008636475,6.79860019683838,-195682.431439365,-12382.9518692386
"14",15,190,48,17,5.09870004653931,158.261306762695,4.95230007171631,132.285995483398,2.5132999420166,11.18630027771,23.761999130249,24.9815998077393,5.98680019378662,-197897.728457886,-10699.3064335315
"15",15,191,48,17,5.00430011749268,158.475692749023,5.00430011749268,130.31379699707,2.53999996185303,11.3737001419067,23.7847003936768,24.7807998657227,5.60080003738403,-198141.580090165,-10463.3243041476
"16",15,192,48,18,27.7626991271973,134.917297363281,5.03030014038086,129.157897949219,2.49559998512268,11.4643001556396,23.4053001403809,24.2124004364014,5.73479986190796,-198447.882203424,-10194.710316367
"17",15,194,48,19,45.0227012634277,118.124000549316,4.85029983520508,127.366096496582,2.36730003356934,11.680700302124,23.1012992858887,24.051700592041,5.83720016479492,-198798.868549881,-9628.11703160359
"18",15,190,48,17,39.4339981079102,122.862701416016,5.33370018005371,136.21110534668,2.74379992485046,11.0336999893188,23.3766994476318,25.0223999023438,6.48070001602173,-197354.901152897,-11330.4568272587
"19",15,194,48,19,45.0227012634277,118.124000549316,4.85029983520508,127.366096496582,2.36730003356934,11.680700302124,23.1012992858887,24.051700592041,5.83720016479492,-198856.862577228,-9482.17326690862
"20",2,191,48,18,5.24069976806641,159.249298095703,5.24069976806641,130.790802001953,2.58200001716614,11.0403003692627,24.1977005004883,25.7418003082275,6.25769996643066,-197931.856064268,-8625.75774519797
"21",2,191,48,18,5.24069976806641,159.249298095703,5.24069976806641,130.790802001953,2.58200001716614,11.0403003692627,24.1977005004883,25.7418003082275,6.25769996643066,-197932.913455992,-8670.21193164121
"22",7,134,63,17,103.684997558594,51.3782997131348,52.8839988708496,387.300415039062,25.1028995513916,9.65999984741211,24.8526992797852,26.5650997161865,3.17600011825562,-329592.559352071,432965.955815395
"23",7,134,63,17,110.089698791504,33.4636993408203,56.5133018493652,423.4130859375,27.2830009460449,8.99429988861084,23.4062995910645,26.0459003448486,1.58770000934601,-327495.837070791,433895.061503247
"24",7,139,64,17,104.074699401855,47.9352989196777,53.2047004699707,389.495208740234,25.2709999084473,9.40499973297119,23.8512992858887,25.410400390625,2.73219990730286,-334771.580646707,432998.952164331
"25",15,171,49,19,NA,NA,7.90430021286011,125.859100341797,3.26519989967346,13.774299621582,30.4300003051758,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"26",7,140,65,17,140.343994140625,10.649299621582,27.0149993896484,282.857788085938,16.4463005065918,9.68430042266846,28.0370006561279,31.5307006835938,0.441900014877319,-297691.865459108,376630.258279315
"27",7,140,65,18,120.865699768066,28.5643005371094,23.3463001251221,231.343002319336,12.4621000289917,10.6149997711182,28.8733005523682,31.9608993530273,2.62680006027222,-295517.031576944,370627.817096778
"28",15,163,49,19,6.87930011749268,165.810699462891,5.50699996948242,152.966995239258,2.54320001602173,10.2510004043579,29.3607006072998,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
