"","fvegHW90mask","bird90","mammal90","reptile90","aetoct_90m","cwdoct_90m","pptoct_90m","pptdjf_90m","pptjja_90m","tmnoct_90m","tmxoct_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",4,195,48,18,32.9733009338379,47.4700012207031,34.807300567627,126.894798278809,2.33189988136292,10.6016998291016,22.1760005950928,23.7985992431641,5.7701997756958,-199181.564161154,-9140.81201261561
"2",8,169,49,19,35.3950004577637,48.6217002868652,38.8712997436523,129.523895263672,3.2846999168396,10.0559997558594,24.9073009490967,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"3",15,171,49,19,NA,NA,37.7882995605469,125.859100341797,3.26519989967346,10.3170003890991,24.9950008392334,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"4",5,179,60,15,41.0666999816895,17.6567001342773,56.0740013122559,192.478393554688,14.1396999359131,8.08600044250488,18.3087005615234,18.9169006347656,4.91120004653931,-360948.484228276,292548.991436612
"5",15,163,49,19,33.7299995422363,40.7799987792969,37.8839988708496,152.966995239258,2.54320001602173,5.60169982910156,24.2019996643066,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
"6",7,158,54,19,51.157299041748,27.7793006896973,66.0692977905273,233.11799621582,5.80819988250732,9.02070045471191,23.4493007659912,30.1177005767822,2.55259990692139,-258453.330789403,147183.589665459
"7",8,163,48,19,36.4846992492676,39.065299987793,42.4286994934082,179.49870300293,3.21720004081726,8.5846996307373,23.7269992828369,31.0492000579834,2.54909992218018,-237258.130324528,108456.881188753
"8",7,177,45,18,47.4766998291016,31.7733001708984,61.3297004699707,239.759704589844,4.76940011978149,10.1197004318237,21.8903007507324,28.0876007080078,3.92969989776611,-225970.637471721,73834.9780327501
"9",5,192,49,18,24.0030002593994,68.423698425293,26.5706996917725,101.501998901367,1.18929994106293,9.87569999694824,22.9666996002197,23.4197006225586,5.62960004806519,-67548.9221966228,-298411.418023463
