"tickpres9.species","longitude","latitude"
"Ixodes pacificus",-35085.6983264228,2299.01017116848
"Ixodes pacificus",71178.3669395017,-413303.577916129
"Ixodes pacificus",70437.2776386589,-416595.091748525
"Ixodes pacificus",70437.2776386589,-416595.091748525
"Ixodes pacificus",-201375.535701944,102327.815767926
"Ixodes pacificus",-194488.854841785,92722.5480787139
"Ixodes pacificus",-194488.854841785,92722.5480787139
"Ixodes pacificus",-194488.854841785,92722.5480787139
"Ixodes pacificus",-194488.854841785,92722.5480787139
"Ixodes pacificus",-194488.854841785,92722.5480787139
"Ixodes pacificus",-207594.075438526,138959.929163356
