"","fvegHW90mask","bird90","mammal90","reptile90","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",4,191,48,17,29.0387001037598,1.12800002098083,129.985000610352,132.714096069336,2.72480010986328,6.2846999168396,13.0193004608154,24.0240001678467,6.53289985656738,-197252.278909354,-14007.2042245204
"2",15,153,48,22,25.4666996002197,2.20129990577698,67.1407012939453,72.35009765625,1.17190003395081,3.4653000831604,13.7693004608154,29.8691005706787,3.99200010299683,-156700.694561082,-40213.9471882377
"3",15,153,48,22,25.7586994171143,2.16330003738403,70.1336975097656,74.6766967773438,1.21430003643036,3.56170010566711,13.774299621582,29.6917991638184,4.05060005187988,-156232.817307373,-40602.1873038593
"4",15,141,53,21,27.7992992401123,0,155.229293823242,159.222595214844,4.63870000839233,2.96099996566772,12.7019996643066,31.9466991424561,3.39580011367798,-59566.7996509728,43050.1646698331
"5",7,132,57,19,18.6730003356934,0,350.194702148438,330.636199951172,10.0117998123169,2.41669988632202,10.6429996490479,28.6961002349854,2.16420006752014,-115379.454444657,186898.218268153
"6",15,169,37,14,23.9087009429932,1.01730000972748,87.7003021240234,92.5675964355469,2.13229990005493,3.38269996643066,12.6553001403809,33.9037017822266,4.01380014419556,-78455.294617675,22637.1500413804
"7",7,134,58,16,11.7946996688843,0,215.684295654297,228.681900024414,7.11990022659302,-0.735300004482269,8.92899990081787,27.6527996063232,-0.272700011730194,-24245.9273796887,27252.6658885595
"8",15,170,45,18,23.7777004241943,0.465299993753433,118.02970123291,124.696197509766,2.98230004310608,2.60870003700256,13.1427001953125,33.6747016906738,3.16619992256165,-63225.2922648149,20799.4632716114
"9",15,166,47,18,25.637300491333,0.112700000405312,127.107299804688,141.093307495117,3.60689997673035,2.0113000869751,12.9892997741699,33.0152015686035,2.45359992980957,-41591.8014066358,4176.63448273437
"10",7,134,58,16,11.7946996688843,0,215.684295654297,228.681900024414,7.11990022659302,-0.735300004482269,8.92899990081787,27.6527996063232,-0.272700011730194,-24246.1889031507,27252.8889835472
"11",15,145,47,17,17.9950008392334,0.806999981403351,112.040000915527,116.098197937012,2.49110007286072,1.3293000459671,13.2056999206543,33.9875984191895,1.85759997367859,-202875.98843304,107178.903846409
"12",8,143,55,19,16.8236999511719,0.543299973011017,155.003997802734,158.814193725586,3.9909999370575,0.898000001907349,12.9619998931885,32.9500007629395,1.16569995880127,-222393.356457883,144218.638909817
"13",11,171,38,14,21.297700881958,0.825999975204468,111.777702331543,115.216400146484,3.75130009651184,3.8403000831604,12.569299697876,33.6712989807129,4.37879991531372,-127982.712814568,145172.767708474
"14",2,189,48,17,27.7490005493164,0.874300003051758,136.485702514648,137.130401611328,2.81489992141724,6.3270001411438,12.3896999359131,25.5589008331299,6.69840002059937,-197243.934686292,-10540.2443251791
"15",15,193,48,18,27.0862998962402,0.865299999713898,123.829002380371,128.342102050781,2.40689992904663,5.48169994354248,13.2593002319336,23.9696006774902,5.67600011825562,-198490.204194676,-9906.8089010613
