species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-122.52255,38.98071,-122.52255+38.98071,-218295.1479,110099.0904
Ixodes pacificus,-122.52255,38.98071,-122.52255+38.98071,-218295.1479,110099.0904
Ixodes pacificus,-122.41435,39.00819,-122.41435+39.00819,-208856.0426,112908.5796
Ixodes pacificus,-122.41435,39.00819,-122.41435+39.00819,-208856.0426,112908.5796
Ixodes pacificus,-122.41435,39.00819,-122.41435+39.00819,-208856.0426,112908.5796
Ixodes pacificus,-122.71688,38.84777,-122.71688+38.84777,-235530.997,95793.80068
Ixodes pacificus,-122.71688,38.84777,-122.71688+38.84777,-235530.997,95793.80068
Ixodes pacificus,-122.71688,38.84777,-122.71688+38.84777,-235530.997,95793.80068
Ixodes pacificus,-122.90761,38.93461,-122.90761+38.93461,-251764.8051,105931.8929
Ixodes pacificus,-122.77467,39.04323,-122.77467+39.04323,-239903.8133,117654.3694
Ixodes pacificus,-122.41664,39.0085,-122.41664+39.0085,-209053.2216,112948.0703
Ixodes pacificus,-118.6651,34.1965,-118.6651+34.1965,123014.6014,-423502.8836
Ixodes pacificus,-118.6651,34.1965,-118.6651+34.1965,123014.6014,-423502.8836
Ixodes pacificus,-118.33333,33.31666,-118.33333+33.31666,155300.0337,-520569.8624
Ixodes pacificus,-118.88611,34.34972,-118.88611+34.34972,102449.4275,-406766.5805
Ixodes pacificus,-118.88611,34.34972,-118.88611+34.34972,102449.4275,-406766.5805
Ixodes pacificus,-118.7987,34.13611,-118.7987+34.13611,110788.7053,-430366.8302
Ixodes pacificus,-118.86278,34.08568,-118.86278+34.08568,104946.4477,-436033.805
Ixodes pacificus,-118.86278,34.08568,-118.86278+34.08568,104946.4477,-436033.805
Ixodes pacificus,-122.52777,37.82166,-122.52777+37.82166,-222181.4736,-18683.29793
Ixodes pacificus,-122.52777,37.82166,-122.52777+37.82166,-222181.4736,-18683.29793
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.497,38.009,-122.497+38.009,-218929.0858,2063.80591
Ixodes pacificus,-122.464346,38.001489,-122.464346+38.001489,-216088.4212,1154.204389
Ixodes pacificus,-119.6777,37.5472,-119.6777+37.5472,28437.25413,-52107.69861
Ixodes pacificus,-123.384,39.444,-123.384+39.444,-290978.2602,163876.2472
Ixodes pacificus,-123.632,39.833,-123.632+39.833,-310637.5162,207856.131
Ixodes pacificus,-123.365,39.412,-123.365+39.412,-289471.3833,160264.3481
Ixodes pacificus,-121.8354,36.283,-121.8354+36.283,-164644.1505,-191077.0048
Ixodes pacificus,-121.4854,36.236,-121.4854+36.236,-133331.9564,-196849.0131
Ixodes pacificus,-121.4854,36.236,-121.4854+36.236,-133331.9564,-196849.0131
Ixodes pacificus,-121.4854,36.236,-121.4854+36.236,-133331.9564,-196849.0131
Ixodes pacificus,-121.4854,36.236,-121.4854+36.236,-133331.9564,-196849.0131
Ixodes pacificus,-122.45,38.5757,-122.45+38.5757,-213181.4396,64931.59392
Ixodes pacificus,-122.97444,38.90444,-122.97444+38.90444,-257654.8322,102759.7165
Ixodes pacificus,-122.97444,38.90444,-122.97444+38.90444,-257654.8322,102759.7165
Ixodes pacificus,-123.00844,39.08811,-123.00844+39.08811,-259951.3809,123256.3661
Ixodes pacificus,-122.5081,38.53918,-122.5081+38.53918,-218343.1256,61005.68227
Ixodes pacificus,-122.5081,38.53918,-122.5081+38.53918,-218343.1256,61005.68227
Ixodes pacificus,-122.25296,38.27978,-122.25296+38.27978,-196821.3246,31620.72093
Ixodes pacificus,-122.25296,38.27978,-122.25296+38.27978,-196821.3246,31620.72093
Ixodes pacificus,-122.5085,38.5433,-122.5085+38.5433,-218365.8238,61464.41935
Ixodes pacificus,-122.5085,38.5433,-122.5085+38.5433,-218365.8238,61464.41935
Ixodes pacificus,-122.568111,38.566824,-122.568111+38.566824,-223482.933,64217.2919
Ixodes pacificus,-122.522,38.555,-122.522+38.555,-219506.1411,62795.69763
Ixodes pacificus,-122.522,38.555,-122.522+38.555,-219506.1411,62795.69763
Ixodes pacificus,-122.4426,38.5618,-122.4426+38.5618,-212577.4868,63370.38799
Ixodes pacificus,-122.4426,38.5618,-122.4426+38.5618,-212577.4868,63370.38799
Ixodes pacificus,-122.4426,38.5618,-122.4426+38.5618,-212577.4868,63370.38799
Ixodes pacificus,-122.4426,38.5618,-122.4426+38.5618,-212577.4868,63370.38799
Ixodes pacificus,-122.5997,38.6527,-122.5997+38.6527,-225969.4928,73834.39048
Ixodes pacificus,-122.5997,38.6527,-122.5997+38.6527,-225969.4928,73834.39048
Ixodes pacificus,-121.01666,39.27027,-121.01666+39.27027,-87642.14493,139846.318
Ixodes pacificus,-121.01666,39.27027,-121.01666+39.27027,-87642.14493,139846.318
Ixodes pacificus,-121.01666,39.27027,-121.01666+39.27027,-87642.14493,139846.318
Ixodes pacificus,-120.7487,39.3596,-120.7487+39.3596,-64464.27341,149558.2435
Ixodes pacificus,-120.9162,39.2843,-120.9162+39.2843,-78967.00103,141317.1556
Ixodes pacificus,-121.052,39.1754,-121.052+39.1754,-90805.56662,129336.8105
Ixodes pacificus,-121.052,39.1754,-121.052+39.1754,-90805.56662,129336.8105
Ixodes pacificus,-121.0205,38.1604,-121.0205+38.1604,-89301.01501,16491.80326
Ixodes pacificus,-117.5527,33.5656,-117.5527+33.5656,227312.6579,-491406.1953
Ixodes pacificus,-117.8196,33.5645,-117.8196+33.5645,202529.744,-492133.1455
Ixodes pacificus,-117.3039,33.364,-117.3039+33.364,251051.3259,-513118.1545
