"","fvegHW90mask","bird90","mammal90","reptile90","aetmar_90m","cwdmar_90m","pptmar_90m","pptdjf_90m","pptjja_90m","tmnmar_90m","tmxmar_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"37",15,191,46,15,76.4567031860352,0,84.2050018310547,110.173400878906,1.40840005874634,6.88570022583008,17.8619995117188,29.2574005126953,5.09019994735718,-186381.12775286,-4513.52280791011
"38",15,190,47,17,75.6212997436523,0.112000003457069,132.035003662109,141.698593139648,3.50959992408752,7.40000009536743,15.6443004608154,24.5879993438721,6.57019996643066,-195281.237285341,-12579.962528965
"39",15,138,56,22,70.4359970092773,0,157.545700073242,177.947601318359,6.94890022277832,4.02769994735718,15.9503002166748,31.6553993225098,2.09080004692078,-61634.5087275359,76802.9645249946
"40",7,125,56,17,63.1689987182617,0,207.115997314453,230.910598754883,8.19079971313477,1.48230004310608,15.0733003616333,30.3125991821289,0.20720000565052,-37891.3156156771,84584.8631677232
"41",15,125,56,17,58.515998840332,0,204.511001586914,226.979705810547,8.06789970397949,1.91600000858307,16.1797008514404,30.5757999420166,0.528599977493286,-41760.67127604,83325.3157274402
"42",9,171,48,19,NA,NA,115.409698486328,125.892997741699,3.26810002326965,6.46969985961914,18.0016994476318,32.782600402832,4.11770009994507,-90575.0547731789,84428.1259396523
"43",9,171,48,19,NA,NA,115.409698486328,125.892997741699,3.26810002326965,6.46969985961914,18.0016994476318,32.782600402832,4.11770009994507,-90594.4908428603,84397.2151866304
"44",15,172,49,19,76.2512969970703,0,126.34529876709,135.676605224609,3.27859997749329,6.05800008773804,17.7812995910645,32.6548004150391,3.77620005607605,-83234.7160098704,89985.1919068713
"45",15,170,49,19,75.9592971801758,0.825999975204468,126.250701904297,135.690002441406,3.30859994888306,6.04129981994629,17.7532997131348,32.6176986694336,3.75399994850159,-82073.3551466757,90239.1828859304
"46",15,170,51,19,77.4266967773438,0,125.65299987793,135.467193603516,3.31820011138916,6.18370008468628,17.7852993011475,32.6001014709473,3.83529996871948,-79960.4313312532,89084.5656953412
"47",15,169,50,19,75.6076965332031,0,127.460296630859,138.755004882812,3.50169992446899,6.02600002288818,17.68869972229,32.5638008117676,3.6686999797821,-77527.5623515081,87662.91816583
"48",7,133,57,21,69.2679977416992,0,208.246002197266,232.41520690918,7.59779977798462,3.53130006790161,14.6960000991821,30.8484001159668,2.43680000305176,-66508.0550291159,98166.0839958293
"49",8,139,57,22,70.7300033569336,1.06299996376038,170.270706176758,188.167098999023,6.19099998474121,3.88000011444092,16.0666999816895,31.4009990692139,1.98959994316101,-70913.8815839916,95489.6837840686
"50",15,166,47,19,73.9390029907227,3.00099992752075,107.299301147461,117.337196350098,3.23860001564026,6.82800006866455,17.9622993469238,32.7192993164062,4.2480001449585,-96440.535649736,83057.4733321723
"51",9,171,48,19,NA,NA,115.409698486328,125.892997741699,3.26810002326965,6.46969985961914,18.0016994476318,32.782600402832,4.11770009994507,-90579.4186585701,84425.9507830827
"52",15,171,49,19,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90966.2241282344,84454.673103366
"53",8,169,49,19,74.8526992797852,1.37070000171661,118.640998840332,129.523895263672,3.2846999168396,6.25099992752075,17.7817001342773,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"54",15,171,49,19,NA,NA,115.314697265625,125.859100341797,3.26519989967346,6.53030014038086,18.0466995239258,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"55",15,169,49,19,73.8187026977539,0.0303000006824732,118.176300048828,129.328994750977,3.28220009803772,6.17770004272461,17.7353000640869,32.6327018737793,3.84910011291504,-90421.1951955756,84448.665663932
"56",15,169,48,19,NA,NA,115.409698486328,125.892997741699,3.26810002326965,6.46969985961914,18.0016994476318,32.782600402832,4.11770009994507,-90628.9627409798,84340.9033275195
"57",15,148,52,18,61.4586982727051,0,173.156997680664,232.085693359375,8.62530040740967,4.52799987792969,15.9017000198364,30.5923004150391,3.34419989585876,-307450.852502629,245898.7619187
"58",2,151,57,15,61.1946983337402,0,209.77799987793,265.372192382812,10.5749998092651,4.67199993133545,15.2270002365112,27.6315994262695,3.69320011138916,-342786.899710359,265054.15341819
"59",7,161,56,15,62.5180015563965,0,225.378295898438,286.387084960938,12.3991003036499,4.60869979858398,15.7926998138428,27.402099609375,3.78099989891052,-340434.030351257,243021.034027214
"60",7,150,53,18,60.2402992248535,0,265.990295410156,342.552093505859,11.1866998672485,3.70000004768372,14.0939998626709,29.2283992767334,3.03279995918274,-312037.015877597,235925.97123419
"61",15,107,60,12,36.9059982299805,19.7947006225586,31.2952995300293,43.285099029541,8.82600021362305,-0.968999981880188,12.7306995391846,28.9853000640869,-2.95919990539551,152449.27977553,-135853.006660674
"62",15,158,54,27,55.8349990844727,28.5757007598877,56.682300567627,59.1142997741699,1.48230004310608,3.36470007896423,14.6133003234863,31.1795997619629,1.603600025177,99768.6922785838,-348935.612543595
"63",15,163,49,19,63.6946983337402,0.862999975681305,113.688697814941,152.966995239258,2.54320001602173,2.83170008659363,17.3637008666992,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
"64",15,150,55,19,54.4296989440918,0,166.837295532227,225.819702148438,5.52479982376099,0.968299984931946,17.0930004119873,32.524600982666,-0.784200012683868,-252576.783264342,162552.788036472
"65",15,163,49,19,63.6946983337402,0.862999975681305,113.688697814941,152.966995239258,2.54320001602173,2.83170008659363,17.3637008666992,32.219799041748,0.891099989414215,-243346.909708871,114928.81656218
"66",8,170,48,18,61.3353004455566,3.09470009803772,133.595001220703,178.975997924805,2.52570009231567,3.35170006752014,16.8593006134033,31.926399230957,1.70130002498627,-251645.629967454,105928.793699856
"67",7,163,48,19,65.7190017700195,0.232999995350838,197.489303588867,277.510711669922,5.36089992523193,4.50430011749268,14.4816999435425,30.4792003631592,3.40370011329651,-235573.543259975,94350.0243413714
"68",15,176,48,19,NA,NA,106.403999328613,148.592697143555,2.71399998664856,2.47399997711182,17.047700881958,31.8265991210938,0.446700006723404,-228380.890196292,103486.054138905
"69",9,178,48,19,NA,NA,115.128303527832,160.134796142578,2.4909999370575,2.82299995422363,17.4389991760254,32.9212989807129,0.953599989414215,-249491.486840242,117860.040841979
"70",15,165,50,18,66.6780014038086,0,105.05770111084,140.565200805664,2.44000005722046,3.06229996681213,17.7106990814209,32.6087989807129,1.00310003757477,-218296.290402306,110099.680436178
"71",15,147,48,17,71.8270034790039,0,85.8966979980469,114.802001953125,2.99429988861084,5.43830013275146,17.7252998352051,33.638801574707,3.62220001220703,-208857.184210272,112909.169429791
"72",15,150,55,19,54.5779991149902,0,168.976699829102,226.744400024414,5.52619981765747,0.962300002574921,16.88330078125,32.5284004211426,-0.768199980258942,-253086.717787503,162978.851218429
"73",15,150,55,19,54.3787002563477,0,167.582000732422,226.283294677734,5.53079986572266,0.982699990272522,16.9729995727539,32.5066986083984,-0.762000024318695,-252746.352442576,162301.225304306
"74",8,164,48,19,70.9203033447266,0.0293000005185604,170.433700561523,235.143203735352,4.25089979171753,4.61129999160767,15.2833003997803,29.9878997802734,3.478600025177,-239837.181868108,108520.750998146
"75",11,172,50,18,62.5126991271973,0,110.602699279785,149.509994506836,2.64019989967346,2.11730003356934,16.9283008575439,31.8278999328613,0.115599997341633,-224137.817943651,103873.908469416
"76",15,165,60,12,38.000301361084,0,63.8967018127441,63.7167015075684,9.84430027008057,-1.35669994354248,13.0586996078491,29.3707008361816,-4.4109001159668,-107533.413976278,334620.993359692
"77",8,151,56,29,86.6827011108398,26.7173004150391,102.323699951172,123.503898620605,4.21979999542236,7.97429990768433,20.4097003936768,30.4736995697021,7.00509977340698,182127.60250431,-424522.847748972
"78",8,151,56,29,86.6827011108398,26.7173004150391,102.323699951172,123.503898620605,4.21979999542236,7.97429990768433,20.4097003936768,30.4736995697021,7.00509977340698,182119.542858224,-424578.499688916
"79",15,154,56,29,77.6856994628906,18.2987003326416,125.674003601074,146.105392456055,3.04629993438721,5.44799995422363,16.3083000183105,29.3547992706299,4.31839990615845,170837.423818803,-415004.38398107
"80",15,187,50,21,68.0086975097656,44.5880012512207,77.1699981689453,101.393096923828,1.42620003223419,10.1877002716064,20.3236999511719,29.4085998535156,10.3008003234863,103499.153875415,-439393.095876948
"81",5,172,51,18,78.6169967651367,26.3729991912842,73.3403015136719,91.1722030639648,1.30190002918243,8.42000007629395,21.2553005218506,32.5196990966797,7.36880016326904,135792.296556005,-428072.015889751
"82",8,152,56,29,78.0906982421875,35.3292999267578,102.323303222656,122.471603393555,3.85759997367859,7.92530012130737,20.3892993927002,30.4559001922607,6.98040008544922,184590.329506064,-424573.255943161
"83",8,119,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,155096.61451139,-516322.865891867
"84",8,119,26,6,64.3452987670898,37.9980010986328,53.7052993774414,66.8603973388672,0.591199994087219,9.94400024414062,18.7353000640869,23.4797992706299,9.46490001678467,154719.909966784,-518109.772633356
"85",8,119,26,6,65.4587020874023,37.4679985046387,55.5186996459961,68.1177978515625,0.686900019645691,9.7819995880127,18.5072994232178,24.0419006347656,9.76700019836426,154483.360207911,-518328.965935768
"86",7,141,53,29,50.0423011779785,46.8930015563965,47.826000213623,53.8903007507324,1.91659998893738,3.57399988174438,18.6690006256104,32.7863006591797,1.90240001678467,167142.670318113,-395807.94322899
"87",3,142,53,28,49.1586990356445,45.4179992675781,40.8559989929199,44.8490982055664,1.76279997825623,3.75530004501343,18.121000289917,32.1593017578125,1.80719995498657,171679.075979459,-391888.075819311
"88",11,187,50,21,80.1013031005859,26.7553005218506,68.8653030395508,88.3572006225586,0.630699992179871,10.1243000030518,20.801700592041,31.2558994293213,9.70300006866455,101432.975045093,-429373.69901256
"89",15,163,53,19,75.5650024414062,35.99169921875,83.064697265625,100.843299865723,2.22029995918274,7.7519998550415,21.07200050354,31.1802997589111,6.01980018615723,203318.061619651,-429466.810151517
"90",5,169,58,26,81.6502990722656,29.8430004119873,69.9037017822266,83.8721008300781,1.6168999671936,8.30930042266846,21.4873008728027,33.2533988952637,6.58319997787476,233114.433665833,-434730.72051726
"91",15,160,50,19,74.4852981567383,31.0813007354736,79.1436996459961,89.9518966674805,1.48269999027252,9.53299999237061,21.4393005371094,30.1942005157471,8.05529975891113,158340.201055137,-430210.929798092
"92",8,157,51,25,67.1952972412109,28.762300491333,83.3482971191406,111.745697021484,1.20990002155304,5.26669979095459,17.1583003997803,31.1662998199463,3.59570002555847,99447.8761578564,-392291.848003378
"93",8,203,52,15,74.7617034912109,4.09499979019165,124.127998352051,171.392196655273,3.36069989204407,7.50629997253418,16.6310005187988,20.2029991149902,6.53200006484985,-222334.043762546,-16350.01459513
"94",2,199,54,15,76.6532974243164,0,101.429000854492,177.437698364258,3.41210007667542,7.76200008392334,17.1509990692139,21.7777996063232,6.63670015335083,-238058.284707139,-4064.63000582531
"95",2,197,52,15,66.7527008056641,8.29730033874512,165.265701293945,238.914199829102,4.16440010070801,6.34770011901855,17.0837001800537,27.5179004669189,5.73000001907349,-229845.938670892,-2793.64923006808
"96",15,167,50,17,85.0169982910156,0.0370000004768372,100.889701843262,105.224296569824,3.20000004768372,5.11770009994507,17.1490001678467,33.4967994689941,2.80069994926453,-291.596150575936,-64817.08482474
"97",15,128,63,17,77.9400024414062,0,143.445007324219,160.159606933594,4.25559997558594,4.03800010681152,16.3582992553711,33.6526985168457,2.19939994812012,19553.0153621354,-37703.2644403498
"98",7,124,62,17,60.7519989013672,0,146.960006713867,184.942092895508,4.78980016708374,0.762000024318695,13.6343002319336,28.7973003387451,-0.523599982261658,28436.1263018946,-52107.1330923541
"99",15,167,50,22,74.1169967651367,7.90299987792969,98.628303527832,111.391799926758,0.719600021839142,3.34929990768433,19.5580005645752,33.6363983154297,1.99430000782013,-133333.106345349,-196848.453136428
"100",15,144,47,23,75.0970001220703,1.54970002174377,121.774299621582,137.136901855469,2.53500008583069,3.46329998970032,15.144700050354,26.4619998931885,2.72399997711182,-134134.10715567,-138912.406371937
"101",8,156,52,18,62.7196998596191,5.7133002281189,157.76530456543,225.546005249023,4.01429986953735,5.23000001907349,14.8330001831055,28.5624008178711,4.16260004043579,-257652.653834205,102755.75519202
"102",7,173,46,17,74.2266998291016,0,143.010696411133,197.837997436523,2.87080001831055,6.0019998550415,18.3269996643066,31.2721996307373,4.17530012130737,-220173.635866645,62103.48175987
"103",8,156,52,18,62.7196998596191,5.7133002281189,157.76530456543,225.546005249023,4.01429986953735,5.23000001907349,14.8330001831055,28.5624008178711,4.16260004043579,-257655.978173333,102760.307649512
"104",15,171,46,17,75.081298828125,0,131.905700683594,185.093597412109,2.20679998397827,5.55700016021729,18.8673000335693,31.3304004669189,3.51999998092651,-218344.27020703,61006.2684907722
"105",11,171,46,17,75.7627029418945,0,131.410293579102,185.05940246582,2.20930004119873,5.52299976348877,18.9440002441406,31.3736000061035,3.50880002975464,-218366.968351471,61465.0056076138
"106",15,161,45,17,73.1647033691406,0,107.082702636719,144.491394042969,1.7175999879837,4.79530000686646,18.2759990692139,32.5928993225098,2.86389994621277,-186942.43603126,55144.9434704632
"107",5,173,45,15,77.11669921875,0,96.0989990234375,138.27360534668,1.73000001907349,6.16200017929077,18.9827003479004,28.3572998046875,4.33580017089844,-199730.712387456,33661.3360373927
"108",15,173,46,17,74.1699981689453,0,136.789306640625,190.890106201172,2.59879994392395,5.60069990158081,18.7467002868652,31.5890007019043,3.71760010719299,-219943.330218371,62118.4668176747
"109",7,172,46,17,74.3649978637695,0,133.34700012207,186.8876953125,2.49020004272461,5.39569997787476,19.0160007476807,31.6382007598877,3.46770000457764,-219516.746846563,62440.7011794518
"110",7,177,45,18,69.8526992797852,0,177.790298461914,239.759704589844,4.76940011978149,5.00899982452393,15.548999786377,28.0876007080078,3.92969989776611,-225970.637471721,73834.9780327501
"111",7,174,47,18,73.2156982421875,0,144.039001464844,198.649398803711,3.04809999465942,4.93930006027222,16.2110004425049,29.3383007049561,3.92000007629395,-212578.63082879,63370.9741489333
"112",15,170,48,19,75.1269989013672,0,141.61669921875,160.720794677734,5.47200012207031,5.8882999420166,18.6716995239258,34.2291984558105,3.67510008811951,-102960.959589121,142396.16537814
