"","fvegHW90mask","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",7,100.690002441406,33.5867004394531,38.976001739502,184.25520324707,11.7251996994019,5.57499980926514,23.6019992828369,31.171199798584,-0.235100001096725,-263994.613082,429995.752768
"2",7,47.8530006408691,73.6210021972656,34.2070007324219,47.1341018676758,14.7052001953125,2.57299995422363,18.0690002441406,26.5583992004395,-5.03310012817383,-177658.672039,426796.693073
"3",8,35.3256988525391,105.095703125,32.3357009887695,84.9169006347656,13.4237003326416,5.48799991607666,23.0053005218506,31.1790008544922,-1.7166999578476,-221230.46564,426893.775832
"4",15,142.933303833008,0,86.5987014770508,319.764099121094,16.9480991363525,9.58629989624023,25.1573009490967,33.1731986999512,1.82819998264313,-189471.328328,326821.826087
"5",15,60.3273010253906,79.1193008422852,42.4959983825684,166.515396118164,9.54710006713867,6.34170007705688,25.1359996795654,33.0878982543945,0.799300014972687,-264323.171171,310995.728232
"6",7,143.148696899414,0.59469997882843,46.7703018188477,144.512298583984,9.77579975128174,6.04330015182495,24.0813007354736,32.0842018127441,0.14020000398159,-236996.088359,306796.619972
"7",15,124.809700012207,33.7902984619141,41.6456985473633,140.887405395508,8.46679973602295,11.6149997711182,27.0900001525879,34.7561988830566,2.93440008163452,-192272.16705,275202.300523
"8",15,139.234298706055,18.8756999969482,44.2112998962402,148.553695678711,8.9827995300293,11.7227001190186,27.0457000732422,34.548698425293,3.15560007095337,-194569.60702,270664.041977
"9",2,133.323303222656,0,65.0893020629883,265.372192382812,10.5749998092651,7.55469989776611,21.3500003814697,27.6315994262695,3.69320011138916,-342785.753491,265053.547658
"10",9,134.804000854492,4.19600009918213,52.3862991333008,283.729095458984,9.35900020599365,7.74669981002808,21.7737007141113,28.2045993804932,3.63940000534058,-323074.066524,234280.49065
"11",9,134.804000854492,4.19600009918213,52.3862991333008,283.729095458984,9.35900020599365,7.74669981002808,21.7737007141113,28.2045993804932,3.63940000534058,-323074.066524,234280.49065
"12",2,28.8759994506836,134.377304077148,28.0713005065918,100.744003295898,4.65539979934692,11.9409999847412,27.1690006256104,34.5155982971191,3.59500002861023,-197625.620886,212648.073976
"13",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124568.462079,168213.914268
"14",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124568.462079,168213.914268
"15",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124568.462079,168213.914268
"16",15,66.765998840332,96.713996887207,44.5497016906738,194.39289855957,6.54040002822876,11.2087001800537,25.4542999267578,32.7186012268066,4.39989995956421,-124568.462079,168213.914268
"17",7,142.76530456543,5.13469982147217,80.3503036499023,281.174896240234,8.81760025024414,7.11199998855591,19.8637008666992,27.4599990844727,0.891600012779236,-73434.034303,145542.060833
"18",15,96.1279983520508,59.2319984436035,55.4580001831055,210.918106079102,6.59619998931885,9.47599983215332,24.3516998291016,32.82080078125,2.69219994544983,-94379.1055959,142369.748701
"19",15,96.1279983520508,59.2319984436035,55.4580001831055,210.918106079102,6.59619998931885,9.47599983215332,24.3516998291016,32.82080078125,2.69219994544983,-94379.1055959,142369.748701
"20",5,58.7799987792969,87.3332977294922,42.7313003540039,195.291305541992,4.97709989547729,6.19600009918213,24.0412998199463,31.4489002227783,0.517000019550323,-254283.512787,141387.949707
"21",5,58.7799987792969,87.3332977294922,42.7313003540039,195.291305541992,4.97709989547729,6.19600009918213,24.0412998199463,31.4489002227783,0.517000019550323,-254283.512787,141387.949707
"22",7,152.338302612305,2.10829997062683,67.6942977905273,263.404998779297,7.67519998550415,7.94799995422363,21.9899997711182,29.5440006256104,1.08560001850128,-87771.6415038,139829.925462
