"","fvegHW90mask","aetjul_90m","cwdjul_90m","pptjul_90m","pptdjf_90m","pptjja_90m","tmnjul_90m","tmxjul_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",1,56.6510009765625,114.60669708252,8.20499992370605,135.024307250977,10.8724002838135,4.23199987411499,26.7096996307373,25.0755996704102,-8.9148998260498,-17529.0398586,157612.569678
"2",15,NA,NA,0.170699998736382,125.859100341797,3.26519989967346,16.4283008575439,34.3479995727539,32.7643013000488,4.15420007705688,-90966.8270969,84454.1095212
"3",15,0.300700008869171,195.936004638672,0.300700008869171,189.159393310547,2.47790002822876,12.7620000839233,32.4230003356934,31.389799118042,3.40820002555847,-217904.348894,63784.5916446
"4",15,0.336699992418289,193.856704711914,0.336699992418289,190.159194946289,2.55590009689331,12.2170000076294,32.6306991577148,31.57200050354,3.67190003395081,-219650.865838,62265.7974379
"5",15,0.336699992418289,193.856704711914,0.336699992418289,190.159194946289,2.55590009689331,12.2170000076294,32.6306991577148,31.57200050354,3.67190003395081,-219650.865838,62265.7974379
"6",15,0.336699992418289,193.856704711914,0.336699992418289,190.159194946289,2.55590009689331,12.2170000076294,32.6306991577148,31.57200050354,3.67190003395081,-219650.865838,62265.7974379
"7",8,2.55599999427795,185.957305908203,0.264699995517731,215.301803588867,3.27360010147095,11.3369998931885,32.0666999816895,30.9204006195068,5.00339984893799,-222375.052586,39320.0679491
"8",15,0.144299998879433,180.102294921875,0.144299998879433,163.618194580078,1.77180004119873,12.2453002929688,26.2800006866455,25.8099002838135,5.70989990234375,-218938.453778,1708.19608658
"9",15,0.144299998879433,180.102294921875,0.144299998879433,163.618194580078,1.77180004119873,12.2453002929688,26.2800006866455,25.8099002838135,5.70989990234375,-218938.453778,1708.19608658
"10",15,0.120999999344349,180.325698852539,0.120999999344349,160.253997802734,1.72720003128052,12.2347002029419,26.1476993560791,25.6991004943848,5.64300012588501,-218929.085829,2063.80591011
"11",15,0.120999999344349,180.325698852539,0.120999999344349,160.253997802734,1.72720003128052,12.2347002029419,26.1476993560791,25.6991004943848,5.64300012588501,-218929.085829,2063.80591011
"12",15,0.120999999344349,180.325698852539,0.120999999344349,160.253997802734,1.72720003128052,12.2347002029419,26.1476993560791,25.6991004943848,5.64300012588501,-218929.085829,2063.80591011
"13",2,0.970000028610229,181.856704711914,0.970000028610229,238.914199829102,4.16440010070801,11.5500001907349,28.1956996917725,27.5179004669189,5.73000001907349,-229865.711199,-2788.98179793
"14",15,0.507000029087067,174.339706420898,0.507000029087067,129.157897949219,2.49559998512268,12.2847003936768,24.4817008972168,24.2124004364014,5.73479986190796,-198446.736032,-10195.2899084
"15",15,0.507000029087067,174.339706420898,0.507000029087067,129.157897949219,2.49559998512268,12.2847003936768,24.4817008972168,24.2124004364014,5.73479986190796,-198446.736032,-10195.2899084
"16",15,0.528699994087219,171.707992553711,0.528699994087219,138.433197021484,2.77740001678467,11.9246997833252,25.1222991943359,24.8239002227783,6.84100008010864,-196987.921178,-10683.6333499
"17",15,0.500299990177155,175.393005371094,0.500299990177155,130.31379699707,2.53999996185303,12.2193002700806,25.0177001953125,24.7807998657227,5.60080003738403,-198140.433932,-10463.9038598
"18",15,0.500299990177155,175.393005371094,0.500299990177155,130.31379699707,2.53999996185303,12.2193002700806,25.0177001953125,24.7807998657227,5.60080003738403,-198140.433932,-10463.9038598
"19",15,0.500299990177155,175.393005371094,0.500299990177155,130.31379699707,2.53999996185303,12.2193002700806,25.0177001953125,24.7807998657227,5.60080003738403,-198140.433932,-10463.9038598
"20",15,0.479999989271164,175.75,0.479999989271164,132.285995483398,2.5132999420166,12.1149997711182,25.2653007507324,24.9815998077393,5.98680019378662,-197896.582309,-10699.8859584
"21",15,0.47299998998642,174.833694458008,0.47299998998642,134.20280456543,2.6149001121521,12.0989999771118,25.2542991638184,24.9491004943848,6.19619989395142,-197605.995537,-11224.9736647
"22",2,0.407700002193451,170.105697631836,0.407700002193451,141.555603027344,3.17170000076294,12.1156997680664,24.9169998168945,24.6506996154785,6.83279991149902,-195853.677996,-11495.4556922
"23",15,0.471700012683868,174.74169921875,0.471700012683868,136.21110534668,2.74379992485046,12.06369972229,25.363000869751,25.0223999023438,6.48070001602173,-197353.75502,-11331.0362749
"24",15,0.233300000429153,170.183303833008,0.233300000429153,142.013900756836,3.46320009231567,12.2137002944946,24.7900009155273,24.4894008636475,6.79860019683838,-195681.285398,-12383.5311523
"25",15,0.129999995231628,171.913299560547,0.129999995231628,141.807998657227,3.6159999370575,12.2589998245239,24.8477001190186,24.5475997924805,6.72709989547729,-195111.51722,-12851.7016659
"26",2,0.665000021457672,182.331695556641,0.665000021457672,187.166107177734,4.0398998260498,13.9062995910645,26.4687004089355,25.2171993255615,5.8983998298645,-192537.543554,-74758.1225794
"27",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-208473.756767,-92724.2110219
"28",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-208473.756767,-92724.2110219
"29",2,0.114000000059605,183.519302368164,0.114000000059605,112.318603515625,0.658900022506714,12.7650003433228,29.4172992706299,28.2604007720947,4.30819988250732,-141930.693571,-93305.8886322
"30",5,0.460700005292892,186.932693481445,0.460700005292892,75.2001037597656,1.06019997596741,17.9549999237061,27.4416999816895,26.8999996185303,9.3922004699707,156758.921392,-439517.022615
