Record,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude
13940,3,129.9900055,1350.819946,143.9232941,26.73089981,2.844899893,8.68999958,24.9666996,35.37960052,0.81129998,209688.5362,-349964.6728
15471,3,95.36000061,1452.166748,95.68000031,13.56569958,7.934299946,13.47999954,29.61330032,40.11899948,4.499800205,380469.1163,-412617.1663
8543,3,113.1567001,1182.493286,153.8833008,27.7826004,4.478099823,5.653299809,23.64669991,34.82429886,-2.624599934,155590.8262,-104393.6343
8604,3,97.53330231,1364.666748,104.6299973,14.67780018,5.909699917,9.609999657,26.72669983,38.46770096,0.992399991,222792.3899,-107264.6013
16674,8,328.0700073,954.6799927,418.126709,72.4897995,10.54520035,6.900000095,23.05999947,31.67440033,1.694399953,296057.0623,-482557.7772
3259,1,276.0133057,574.5667114,609.1433105,110.205101,9.928600311,1.356699944,14.50329971,25.19599915,-4.811100006,-31872.73092,233204.3799
9188,3,121.9599991,1157.5,167.1132965,31.11310005,4.576300144,6.389999866,23.49670029,34.97359848,-1.890799999,174057.3772,-140125.117
3528,15,318.0433044,935.8532715,679.5866699,120.2081985,5.522600174,10.81669998,23.40329933,34.11510086,3.8901999,-218572.5704,215785.7329
12680,15,256.9533081,1167.523315,278.2666931,48.81480026,2.960799932,8.516699791,23.21999931,32.59130096,0.433099985,146477.1505,-298832.9221
4356,15,311.9767151,921.7033081,562.623291,107.9487,3.918100119,8.346699715,23.52669907,33.36579895,2.271399975,-207666.9347,157043.0898
5439,8,447.5667114,672.0800171,1415.849976,235.5346069,8.350000381,5.146699905,18.6432991,28.32519913,-0.731000006,-32075.52858,85361.88401
8442,3,139.3932953,1182.079956,165.0767059,29.62420082,5.103000164,5.476699829,23.62669945,34.88000107,-2.861299992,153843.2309,-99918.83951
693,7,508.8666992,399.1300049,1970.276733,317.4932861,23.81830025,6.726699829,16.2166996,18.98489952,3.405800104,-340053.4142,396213.9187
8515,15,372.1000061,882.5133057,595.2966919,117.1638031,1.033699989,9.856699944,20.72999954,29.01679993,5.22300005,-125219.9729,-103408.5257
3137,7,314.1900024,633.6199951,1084.503296,185.1632996,11.52420044,0.560000002,18.02330017,28.89590073,-5.005099773,-78927.72264,240033.0712
11965,3,115.8067017,1376.859985,122.3799973,22.16419983,4.284200191,10.65330029,26.82670021,37.79069901,1.690700054,272019.816,-268234.7683
7563,7,424.146698,602.0499878,1089.293335,195.532196,6.363699913,3.733299971,17.80999947,26.89030075,-1.752799988,34221.18755,-53788.57741
1425,1,328.3800049,345.4466858,1585.776733,280.8633118,19.13260078,1.913300037,12.60669994,22.37779999,-3.286299944,-244731.2517,346698.3261
5294,7,464.3933105,647.7567139,1311.47998,243.8040009,4.622300148,7.096700191,20.06329918,25.95669937,4.07460022,-299595.3231,93928.91283
4187,7,385.3132935,578.7532959,1727.483276,289.7488098,12.35990047,3.986700058,18.06999969,27.82460022,-1.423799992,-67025.7607,168913.7359
16468,5,90.91670227,1446,90.81999969,13.54300022,6.921899796,16.37000084,30.30999947,40.28170013,6.891600132,434753.1862,-466856.6101
1331,7,345.0632935,492.2567139,1537.406738,262.5552979,16.48859978,3.983299971,16.51000023,27.59390068,-1.309900045,-216858.4371,352730.5468
16646,5,401.4632874,1030.393311,455.6766968,92.57759857,1.833999991,11.25,24.08329964,29.14599991,7.814599991,225425.369,-481157.7691
6750,11,357.5332947,938.8933105,361.9700012,65.40329742,1.239300013,9.27670002,23.52000046,32.28900146,3.862299919,-137470.2204,-1919.412915
17787,5,88.56999969,1427.543335,89.34999847,15.41909981,5.374100208,13.74670029,30.83329964,40.36520004,6.286300182,377650.1413,-567864.8055
14340,15,341.1799927,963.4866943,484.2000122,92.07319641,0.984000027,7.676700115,22.59329987,26.39769936,4.104199886,-28860.92283,-365797.7578
16311,5,287.9967041,1184.68335,368.2600098,74.12490082,1.117300034,11.94999981,25.29000092,29.9993,7.494100094,206185.5939,-457835.3547
9134,11,311.3233032,1114.743286,316.3099976,55.30319977,1.880599976,10.1967001,25,35.31290054,3.846100092,36829.46213,-137811.1143
3059,11,393.5133057,660.2000122,1222.75,197.6977997,12.48099995,4.119999886,17.52669907,27.66699982,-1.187600017,-145737.3399,244178.0671
14169,3,124.7966995,1318.973267,131.9967041,17.11120033,11.27019978,10.23670006,26.6432991,37.71239853,1.576200008,377134.7116,-359259.9903
