"","fvegHW90mask","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",7,11.8730001449585,0,100.233703613281,106.530899047852,13.0256004333496,-1.42630004882812,9.7923002243042,28.9916000366211,-2.20129990577698,-202510.872948,384198.021266
"2",15,18.4213008880615,0,325.21630859375,337.016815185547,17.3502006530762,-0.146699994802475,12.2966995239258,32.8386993408203,-0.622699975967407,-160822.186546,335430.100007
"3",15,27.3246994018555,0,334.278686523438,322.878692626953,17.6763000488281,1.93669998645782,13.1850004196167,32.779598236084,1.58790004253387,-189801.019264,327311.52516
"4",15,27.3246994018555,0,334.278686523438,322.878692626953,17.6763000488281,1.93669998645782,13.1850004196167,32.779598236084,1.58790004253387,-189801.019264,327311.52516
"5",15,27.1919994354248,0,331.229705810547,322.023101806641,17.4932994842529,2.11330008506775,13.3566999435425,32.9030990600586,1.69439995288849,-189322.376648,327381.214373
"6",15,27.1919994354248,0,331.229705810547,322.023101806641,17.4932994842529,2.11330008506775,13.3566999435425,32.9030990600586,1.69439995288849,-189322.376648,327381.214373
"7",15,25.317699432373,0,324.432708740234,318.836303710938,16.8878002166748,2.21930003166199,13.7246999740601,33.1897010803223,1.7824000120163,-189295.754531,327092.905494
"8",7,26.6389999389648,0,326.455291748047,322.004608154297,17.3159999847412,2.41799998283386,13.7747001647949,33.2421989440918,1.98389995098114,-189490.759236,325576.522362
"9",7,NA,NA,342.361999511719,325.028686523438,15.3896999359131,2.74970006942749,14.4409999847412,33.3978004455566,2.44519996643066,-199755.774854,321478.447946
"10",7,NA,NA,342.361999511719,325.028686523438,15.3896999359131,2.74970006942749,14.4409999847412,33.3978004455566,2.44519996643066,-199755.774854,321478.447946
"11",15,29.9610004425049,0,320.394287109375,318.370697021484,17.5946006774902,2.42129993438721,13.5247001647949,32.8002014160156,2.06620001792908,-188909.946651,320442.999828
"12",7,29.1480007171631,0,316.875701904297,314.630401611328,16.494800567627,2.64499998092651,14.1167001724243,33.2207984924316,2.24000000953674,-188690.135647,319821.554856
"13",7,28.8719997406006,0,312.597991943359,309.893798828125,15.487099647522,2.40400004386902,14.168999671936,33.2537994384766,2.07480001449585,-189959.943153,319383.054738
"14",7,22.9253005981445,0,142.404693603516,165.654403686523,9.47299957275391,0.977699995040894,12.3687000274658,32.8347015380859,0.589800000190735,-264206.177658,311913.466595
"15",7,28.6142997741699,0,305.160308837891,304.123107910156,13.2040996551514,2.8636999130249,13.9666996002197,33.1967010498047,2.68129992485046,-195918.394464,311728.299239
"16",7,28.0450000762939,0,304.36669921875,303.82958984375,12.9727001190186,2.85170006752014,13.8520002365112,33.1892013549805,2.68630003929138,-195806.199178,311551.208561
"17",15,NA,NA,135.890701293945,154.165603637695,8.76529979705811,0.265300005674362,11.1536998748779,31.8661003112793,0.0342000015079975,-233901.074922,311192.620977
"18",9,18.4500007629395,0,134.124694824219,151.732192993164,9.31779956817627,-0.0976999998092651,10.8107004165649,31.2376003265381,-0.375299990177155,-234535.711183,309886.208021
"19",9,18.4500007629395,0,134.124694824219,151.732192993164,9.31779956817627,-0.0976999998092651,10.8107004165649,31.2376003265381,-0.375299990177155,-234535.711183,309886.208021
"20",15,29.5487003326416,0,304.274291992188,301.888793945312,12.8568000793457,3.43569993972778,13.975700378418,33.1520004272461,3.13790011405945,-197628.196839,308964.139114
"21",15,29.5487003326416,0,304.274291992188,301.888793945312,12.8568000793457,3.43569993972778,13.975700378418,33.1520004272461,3.13790011405945,-197628.196839,308964.139114
"22",15,29.5487003326416,0,304.274291992188,301.888793945312,12.8568000793457,3.43569993972778,13.975700378418,33.1520004272461,3.13790011405945,-197628.196839,308964.139114
"23",7,24.0697002410889,0,140.225006103516,164.932006835938,8.99989986419678,1.51730000972748,13.3203001022339,33.6446990966797,1.15369999408722,-270806.875265,307129.941952
"24",7,23.3400001525879,0,131.526306152344,144.512298583984,9.77579975128174,0.421700000762939,12.0543003082275,32.0842018127441,0.14020000398159,-236996.088359,306796.619972
"25",7,23.3400001525879,0,131.526306152344,144.512298583984,9.77579975128174,0.421700000762939,12.0543003082275,32.0842018127441,0.14020000398159,-236996.088359,306796.619972
"26",9,NA,NA,130.432693481445,143.992004394531,9.86559963226318,0.445699989795685,12.3233003616333,32.103401184082,0.155399993062019,-237195.64085,305224.237699
"27",9,NA,NA,130.432693481445,143.992004394531,9.86559963226318,0.445699989795685,12.3233003616333,32.103401184082,0.155399993062019,-237195.64085,305224.237699
"28",15,20.5102996826172,0,131.925704956055,144.979400634766,10.3563003540039,0.176300004124641,11.8529996871948,31.7637996673584,-0.142100006341934,-235478.784002,303556.387786
"29",15,20.5102996826172,0,131.925704956055,144.979400634766,10.3563003540039,0.176300004124641,11.8529996871948,31.7637996673584,-0.142100006341934,-235478.784002,303556.387786
"30",7,20.065299987793,0,138.822692871094,158.410293579102,10.3171997070312,0.156000003218651,11.6522998809814,31.6252002716064,-0.0527999997138977,-246260.977946,299458.681571
"31",7,20.065299987793,0,138.822692871094,158.410293579102,10.3171997070312,0.156000003218651,11.6522998809814,31.6252002716064,-0.0527999997138977,-246260.977946,299458.681571
"32",7,22.9883003234863,0,140.651000976562,159.993804931641,9.27299976348877,0.636300027370453,12.3090000152588,32.3970985412598,0.325100004673004,-249546.331369,296296.730015
"33",7,22.9883003234863,0,140.651000976562,159.993804931641,9.27299976348877,0.636300027370453,12.3090000152588,32.3970985412598,0.325100004673004,-249546.331369,296296.730015
"34",15,15.5697002410889,0,233.752304077148,244.135406494141,14.2424001693726,-0.500699996948242,11.5507001876831,31.1788997650146,-0.792800009250641,-225858.122332,294944.572374
"35",15,15.5697002410889,0,233.752304077148,244.135406494141,14.2424001693726,-0.500699996948242,11.5507001876831,31.1788997650146,-0.792800009250641,-225858.122332,294944.572374
"36",2,31.1707000732422,0.0533000007271767,199.615005493164,203.983993530273,10.9472999572754,4.26469993591309,15.7270002365112,34.7928009033203,3.53830003738403,-207086.157541,290661.412814
"37",7,14.7252998352051,0,147.307006835938,174.578094482422,9.11439990997314,-1.36769998073578,10.0817003250122,29.9733009338379,-1.70070004463196,-257619.938669,288969.095338
"38",7,14.7252998352051,0,147.307006835938,174.578094482422,9.11439990997314,-1.36769998073578,10.0817003250122,29.9733009338379,-1.70070004463196,-257619.938669,288969.095338
"39",15,31.0750007629395,0,137.147003173828,151.322296142578,9.23840045928955,4.35300016403198,15.3147001266479,34.4042015075684,3.48909997940063,-182196.54321,280565.782276
"40",1,0,0,151.905700683594,163.605697631836,20.8948993682861,-6.54530000686646,6.0282998085022,23.224100112915,-6.54809999465942,-132408.962132,279117.682538
"41",15,31.2882995605469,0,131.821304321289,139.369903564453,8.44130039215088,4.02799987792969,15.6766996383667,34.7196998596191,2.90879988670349,-192288.773971,274681.848958
"42",15,31.2882995605469,0,131.821304321289,139.369903564453,8.44130039215088,4.02799987792969,15.6766996383667,34.7196998596191,2.90879988670349,-192288.773971,274681.848958
"43",2,31.9027004241943,0,234.037704467773,262.872009277344,9.76459980010986,2.88969993591309,13.1533002853394,29.4761009216309,2.82039999961853,-309092.689935,257042.650808
"44",2,31.9027004241943,0,234.037704467773,262.872009277344,9.76459980010986,2.88969993591309,13.1533002853394,29.4761009216309,2.82039999961853,-309092.689935,257042.650808
"45",15,32.9902992248535,0,118.343299865723,124.589599609375,6.46880006790161,4.54370021820068,15.6859998703003,34.5075988769531,3.49830007553101,-200100.237807,241450.649392
"46",7,13.524299621582,0,167.269302368164,172.055801391602,8.2819995880127,-2.48499989509583,10.2412996292114,30.7299995422363,-2.87059998512268,-76847.804809,217458.906306
"47",7,6.81500005722046,0,195.049301147461,195.985305786133,9.59889984130859,-2.80570006370544,8.67800045013428,29.1762008666992,-3.15590000152588,-87568.0131159,210994.097953
"48",7,28.5746994018555,0,322.197692871094,330.636199951172,10.0117998123169,2.03800010681152,11.7546997070312,28.6961002349854,2.16420006752014,-115378.323514,186897.626304
"49",15,21.5116996765137,0,157.983993530273,186.545394897461,8.68970012664795,0.854300022125244,9.55070018768311,27.3609008789062,0.794200003147125,-233577.723154,184650.749681
"50",15,NA,NA,184.336303710938,192.967193603516,6.52330017089844,5.65229988098145,15.0550003051758,32.9408988952637,4.60200023651123,-124379.300144,169572.389814
"51",15,NA,NA,184.469696044922,193.02180480957,6.51669979095459,5.65869998931885,15.0559997558594,32.9514007568359,4.61569976806641,-124224.274849,169485.118855
"52",15,36.6032981872559,0,184.266006469727,193.020401000977,6.45629978179932,5.59070014953613,15.0396995544434,32.7932014465332,4.54879999160767,-124568.310845,168336.157517
"53",15,36.7863006591797,0,183.300704956055,191.877593994141,6.41190004348755,5.55970001220703,15.0482997894287,32.8047981262207,4.50890016555786,-124834.563832,168449.810717
"54",15,37.2667007446289,0,161.092300415039,165.327896118164,5.50860023498535,5.37629985809326,15.5087003707886,33.4430999755859,4.21799993515015,-128779.13645,168247.176295
"55",9,32.5449981689453,0,242.496002197266,263.893890380859,7.72429990768433,2.27729988098145,14.1597003936768,32.2050018310547,1.60259997844696,-95325.2958323,157403.635775
"56",9,32.5449981689453,0,242.496002197266,263.893890380859,7.72429990768433,2.27729988098145,14.1597003936768,32.2050018310547,1.60259997844696,-95325.2958323,157403.635775
"57",9,32.5449981689453,0,242.496002197266,263.893890380859,7.72429990768433,2.27729988098145,14.1597003936768,32.2050018310547,1.60259997844696,-95325.2958323,157403.635775
"58",15,38.1189994812012,0,153.006698608398,160.720794677734,5.47200012207031,4.49370002746582,16.0883007049561,34.2291984558105,3.67510008811951,-102959.828057,142395.577394
"59",15,34.0320014953613,0,192.160995483398,205.945098876953,6.50040006637573,3.66969990730286,15.0012998580933,33.203800201416,2.91319990158081,-94567.9621247,142360.818546
"60",15,38.9432983398438,0,154.983993530273,162.094696044922,5.09040021896362,4.80030012130737,15.7620000839233,33.9369010925293,3.77810001373291,-106842.817035,141545.631158
"61",15,38.9432983398438,0,154.983993530273,162.094696044922,5.09040021896362,4.80030012130737,15.7620000839233,33.9369010925293,3.77810001373291,-106842.817035,141545.631158
"62",15,38.5693016052246,0,155.712005615234,161.845199584961,5.05770015716553,4.93030023574829,15.5113000869751,33.3005981445312,3.8561999797821,-109065.641084,140947.822743
"63",15,38.5693016052246,0,155.712005615234,161.845199584961,5.05770015716553,4.93030023574829,15.5113000869751,33.3005981445312,3.8561999797821,-109065.641084,140947.822743
"64",15,38.5693016052246,0,155.712005615234,161.845199584961,5.05770015716553,4.93030023574829,15.5113000869751,33.3005981445312,3.8561999797821,-109065.641084,140947.822743
"65",15,39.442699432373,0,138.730697631836,140.7998046875,4.27729988098145,5.12270021438599,15.3549995422363,33.4029998779297,4.00839996337891,-118325.667859,140769.792599
"66",15,38.1946983337402,0,156.423706054688,162.912094116211,5.09740018844604,4.91200017929077,15.5887002944946,33.3335990905762,3.83739995956421,-109408.101479,140236.197567
"67",15,30.6203002929688,0,187.88330078125,198.637893676758,3.81419992446899,1.50769996643066,14.1972999572754,31.7765998840332,0.779600024223328,-259041.692069,128558.269952
"68",15,35.8242988586426,0,192.369003295898,193.331207275391,5.69099998474121,3.125,14.5916996002197,31.4890995025635,2.47970008850098,-89042.0329644,123382.279073
"69",8,33.7703018188477,0,182.952301025391,192.581207275391,3.06970000267029,3.24370002746582,13.2777004241943,30.7189998626709,2.7878999710083,-260019.435057,121112.411707
"70",15,32.9053001403809,0,164.393707275391,163.739593505859,2.64269995689392,1.73070001602173,14.6169996261597,32.0589981079102,0.988900005817413,-239903.813301,117654.369444
"71",15,30.6790008544922,0,154.58869934082,152.966995239258,2.54320001602173,1.68270003795624,14.5586996078491,32.219799041748,0.891099989414215,-243345.765376,114928.225131
"72",15,37.5713005065918,0,166.447692871094,166.080993652344,4.77740001678467,3.31130003929138,14.0207004547119,31.4983997344971,2.59859991073608,-82537.0467041,106975.300696
"73",15,37.5713005065918,0,166.447692871094,166.080993652344,4.77740001678467,3.31130003929138,14.0207004547119,31.4983997344971,2.59859991073608,-82537.0467041,106975.300696
"74",8,38.1613006591797,0,211.789703369141,225.546005249023,4.01429986953735,4.67329978942871,12.4193000793457,28.5624008178711,4.16260004043579,-257654.832186,102759.716536
"75",15,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72684.3229836,99323.8100115
"76",15,37.6176986694336,0,201.405303955078,206.365295410156,6.2487998008728,3.08270001411438,13.2236995697021,31.1119003295898,2.85669994354248,-72684.3229836,99323.8100115
