"","fvegHW90mask","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1646",15,500.483306884766,671.973327636719,809.570007324219,140.453094482422,8.47659969329834,9.19999980926514,24.0566997528076,34.7344017028809,2.92239999771118,-192237.718802035,274754.180726378
"1647",15,501.386688232422,672.963317871094,812.630004882812,140.887405395508,8.46679973602295,9.20670032501221,24.0632991790771,34.7561988830566,2.93440008163452,-192273.301289957,275202.901722976
"1648",15,501.386688232422,672.963317871094,812.630004882812,140.887405395508,8.46679973602295,9.20670032501221,24.0632991790771,34.7561988830566,2.93440008163452,-192273.301289957,275202.901722976
"1649",5,382.920013427734,785.206726074219,1158.52001953125,207.330902099609,10.9919996261597,10.25,24.2933006286621,34.8726997375488,3.69600009918213,-207111.598017647,291065.162771033
"1650",15,594.726684570312,587.890014648438,1053.17004394531,187.317398071289,9.74219989776611,9.80669975280762,24.7632999420166,35.5629005432129,3.4326000213623,-201056.995201642,289354.604546927
"1651",15,594.726684570312,587.890014648438,1053.17004394531,187.317398071289,9.74219989776611,9.80669975280762,24.7632999420166,35.5629005432129,3.4326000213623,-201056.995201642,289354.604546927
"1652",15,574.466674804688,430.233306884766,1194.26000976562,198.056198120117,11.8579998016357,5.8899998664856,21.2667007446289,32.5814018249512,0.152099996805191,-222367.053883759,303414.88091864
"1653",7,698.373291015625,358.206695556641,1058.56335449219,165.100601196289,12.6149997711182,5.17000007629395,18.75,29.0513000488281,-0.499799996614456,-157911.073461113,274993.055596591
"1654",15,636.359985351562,530.210021972656,1012.29998779297,177.027694702148,10.454400062561,9.78670024871826,24.0167007446289,34.5956001281738,3.26999998092651,-211783.151694763,278120.505297759
"1655",15,528.609985351562,639.446716308594,859.280029296875,148.553695678711,8.9827995300293,9.51000022888184,23.9400005340576,34.548698425293,3.15560007095337,-194570.741595862,270664.642934238
"1656",2,380.963287353516,779.336669921875,708.716674804688,121.910697937012,7.41569995880127,8.7367000579834,23.7432994842529,34.1526985168457,2.74460005760193,-188623.283366178,266046.74334212
"1657",15,452.950012207031,632.213317871094,1807.17004394531,301.410095214844,14.7242002487183,8.59669971466064,21.75,32.0556983947754,2.38269996643066,-203627.117918561,327322.599954872
"1658",5,523.443298339844,661.763305664062,1515.82995605469,268.989105224609,13.4334001541138,10.8100004196167,23.2667007446289,33.937801361084,4.19110012054443,-202115.591673537,299681.072947147
"1659",5,523.443298339844,661.763305664062,1515.82995605469,268.989105224609,13.4334001541138,10.8100004196167,23.2667007446289,33.937801361084,4.19110012054443,-202115.591673537,299681.072947147
"1660",5,523.443298339844,661.763305664062,1515.82995605469,268.989105224609,13.4334001541138,10.8100004196167,23.2667007446289,33.937801361084,4.19110012054443,-202115.591673537,299681.072947147
"1661",15,427.546691894531,748.039978027344,886.900024414062,151.90510559082,9.66639995574951,9.4399995803833,24.176700592041,35.0213012695312,3.01110005378723,-198578.225321042,277764.967441236
"1662",15,582.256713867188,613.236694335938,1124.41003417969,200.934097290039,10.1386995315552,10.4433002471924,24.6200008392334,35.5446014404297,3.9349000453949,-202073.820938358,290141.865269094
"1663",15,734.443298339844,441.609985351562,1121.9267578125,198.439895629883,10.5804004669189,9.95670032501221,24.3432998657227,35.0620994567871,3.57599997520447,-196046.805492192,292008.619216123
"1664",15,372.353302001953,815.573303222656,809.843322753906,134.147705078125,8.23200035095215,9.60999965667725,23.676700592041,34.4987983703613,3.36870002746582,-169354.87843407,269973.711546252
"1665",15,372.353302001953,815.573303222656,809.843322753906,134.147705078125,8.23200035095215,9.60999965667725,23.676700592041,34.4987983703613,3.36870002746582,-169354.87843407,269973.711546252
"1666",15,398.510009765625,778.22998046875,890.473327636719,151.322296142578,9.23840045928955,9.89330005645752,23.7900009155273,34.4042015075684,3.48909997940063,-182197.676457198,280566.383517693
"1667",15,479.600006103516,596.88330078125,1934.55004882812,320.484191894531,17.0112991333008,7.62330007553101,22.4132995605469,33.1212997436523,1.81760001182556,-189296.886880595,327093.510196298
"1668",15,479.600006103516,596.88330078125,1934.55004882812,320.484191894531,17.0112991333008,7.62330007553101,22.4132995605469,33.1212997436523,1.81760001182556,-189296.886880595,327093.510196298
"1669",15,404.510009765625,669.766723632812,1227.84997558594,206.69189453125,11.6373996734619,6.82670021057129,22.3099994659424,33.5251007080078,1.31169998645782,-223074.809136616,297261.939440526
"1670",7,372.623291015625,631.843322753906,1623.47326660156,272.651306152344,10.9476003646851,3.35669994354248,20.1200008392334,30.3418998718262,-1.34879994392395,-71013.8347904171,171771.910533591
"1671",7,783.36669921875,313.390014648438,1588.45324707031,275.364288330078,9.10490036010742,5.35330009460449,21.3700008392334,31.2931995391846,0.271800011396408,-84496.007266866,166822.292899623
"1672",7,426.683288574219,661.566711425781,1621.86999511719,274.712585449219,10.5642004013062,4.07329988479614,20.36669921875,30.3967990875244,-0.776400029659271,-78391.542707594,169872.736244007
"1673",15,795.043273925781,327.230010986328,1599.59997558594,277.334289550781,9.18990039825439,5.34329986572266,21.2700004577637,31.2931995391846,0.308400005102158,-85266.6947832937,167241.489104008
"1674",7,578.693298339844,520.786682128906,1624.28674316406,281.755615234375,9.35159969329834,5.35669994354248,20.5599994659424,30.3486003875732,-0.0297999996691942,-88177.6182651799,166386.803768216
"1675",15,420.436706542969,684.163330078125,1580.42333984375,274.207214355469,8.94509983062744,5.37669992446899,21.176700592041,31.0809001922607,0.070200003683567,-87121.9226905412,167149.994936551
"1676",7,413.850006103516,642.053283691406,1619.96997070312,274.634399414062,10.5057001113892,4.03000020980835,20.5767002105713,30.6093997955322,-0.773899972438812,-78319.101628082,169661.682601741
"1677",7,413.850006103516,642.053283691406,1619.96997070312,274.634399414062,10.5057001113892,4.03000020980835,20.5767002105713,30.6093997955322,-0.773899972438812,-78319.101628082,169661.682601741
"1678",15,440.916687011719,547.086669921875,535.36669921875,85.1267013549805,14.914999961853,3.54329991340637,19.0433006286621,30.5042991638184,-2.52300000190735,-222996.852072954,414197.641709358
"1679",7,282.839996337891,551.786682128906,635.943298339844,105.771102905273,11.5712003707886,3.55329990386963,19.5200004577637,30.9533996582031,-2.02320003509521,-256867.570378175,406016.597572822
