,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude,long same,latt same,Both Same?
486,15,492.5632935,636.3632813,1082.09668,198.6378937,3.814199924,5.446700096,22.18670082,31.77659988,0.779600024,-259042.8371,128558.863,0,0,0
1780,7,288.4566956,634.9467163,979.9299927,172.9179993,8.997300148,3.069999933,19.04000092,30.2329998,-1.779399991,-258468.8266,288925.8633,0,0,0
497,7,439.9100037,675.7432861,1303.569946,233.1179962,5.808199883,7.05670023,20.59000015,30.11770058,2.552599907,-258453.3308,147183.5897,0,0,0
826,8,373.2099915,781.0700073,1206.233276,225.5460052,4.01429987,9.173299789,19.95999908,28.56240082,4.16260004,-257655.9782,102760.3076,0,0,0
822,8,373.2099915,781.0700073,1206.233276,225.5460052,4.01429987,9.173299789,19.95999908,28.56240082,4.16260004,-257652.6538,102755.7552,0,0,0
1793,7,285.5466919,641.916687,991.2000122,174.5780945,9.11439991,3.243299961,18.81999969,29.97330093,-1.700700045,-257621.0776,288969.6997,0,0,0
1679,7,282.8399963,551.7866821,635.9432983,105.7711029,11.57120037,3.553299904,19.52000046,30.95339966,-2.023200035,-256867.5704,406016.5976,0,0,0
1814,7,332.5032959,612.4666748,1011.396729,176.4532013,9.666899681,4.486700058,18.2833004,29.11540031,-0.967000008,-254734.5861,290789.429,0,0,0
499,5,585.3967285,501.146698,1093.643311,198.0628967,4.970099926,5.146699905,21.8567009,31.36070061,0.565100014,-254387.1415,141383.172,0,0,0
556,5,366.2467041,722.9567261,1079.496704,195.2913055,4.977099895,5.103300095,21.9633007,31.44890022,0.51700002,-254284.6569,141388.5436,0,0,0
505,15,488.1900024,583.0966797,1233.553345,226.7444,5.526199818,3.553299904,22.38669968,32.52840042,-0.76819998,-253086.7178,162978.8512,0,0,0
512,15,486.4100037,580.4633179,1230.22998,226.2832947,5.530799866,3.556699991,22.3932991,32.50669861,-0.762000024,-252819.9378,162342.4196,0,0,0
511,15,486.4100037,580.4633179,1230.22998,226.2832947,5.530799866,3.556699991,22.3932991,32.50669861,-0.762000024,-252746.3524,162301.2253,0,0,0
485,15,476,590.123291,1227.193359,225.8197021,5.524799824,3.546700001,22.43670082,32.52460098,-0.784200013,-252576.7833,162552.788,0,0,0
515,15,473.6066895,584.0667114,1239.140015,227.894104,5.528600216,3.450000048,22.32999992,32.35710144,-0.861999989,-251901.6199,161902.6305,0,0,0
509,8,602.2667236,553.1732788,962.5067139,178.6804047,2.508599997,6.593299866,22.29999924,31.90410042,1.62440002,-251765.9504,105932.484,0,0,0
489,8,326.5267029,820.7833252,963.8532715,178.9759979,2.525700092,6.670000076,22.29999924,31.92639923,1.701300025,-251645.63,105928.7937,0,0,0
1730,15,496.166687,706.3967285,1157.636719,224.6080017,2.5546,7.006700039,21.47999954,27.65609932,3.871900082,-251601.8131,44558.604,0,0,0
1587,15,319.7867126,642.3099976,925.1867065,163.5867004,6.731800079,3.809999943,20.1432991,30.69400024,-1.187000036,-251499.3592,263569.8341,0,0,0
1826,7,339.3500061,656.960022,920.2532959,159.9938049,9.272999763,4.383299828,20.9633007,32.39709854,0.325100005,-249550.1714,296308.416,0,0,0
1791,7,339.3500061,656.960022,920.2532959,159.9938049,9.272999763,4.383299828,20.9633007,32.39709854,0.325100005,-249547.4695,296297.3346,0,0,0
1781,15,360.4833069,655.1799927,919.4066772,159.6116943,9.361300468,4.389999866,20.85330009,32.2989006,0.358999997,-248792.0916,297729.037,0,0,0
1813,15,337.9067078,651.9000244,913.1500244,156.4638062,10.21920013,4.320000172,20.63999939,31.91830063,0.0083,-247722.4773,289782.2135,0,0,0
1789,7,346.416687,623.1132813,916.5366821,158.4102936,10.31719971,4.173299789,20.30669975,31.62520027,-0.0528,-246262.1157,299459.2862,0,0,0
667,2,449.5067139,720.6832886,869.8466797,174.1320953,3.262599945,8.479999542,19.51670074,23.1128006,5.453299999,-245214.7399,6307.240344,0,0,0
717,5,446.3167114,722.25,853.376709,170.6788025,3.204400063,8.460000038,19.54999924,22.92259979,5.40019989,-245173.4933,6308.358308,0,0,0
718,2,551.333313,571.5599976,830.3300171,166.6694031,3.291300058,9.523300171,16.52330017,17.58160019,7.064799786,-244789.4574,-1514.031943,0,0,0
1801,7,315.7267151,615.0700073,1059.72998,181.8795929,10.78339958,3.75999999,18.59670067,30.10140038,-1.363100052,-244397.0049,315035.4526,0,0,0
481,15,328.2767029,815.710022,807.5466919,152.9669952,2.543200016,5.666699886,22.45000076,32.21979904,0.891099989,-243347.7414,114929.9532,0,0,0
487,15,328.2767029,815.710022,807.5466919,152.9669952,2.543200016,5.666699886,22.45000076,32.21979904,0.891099989,-243346.9097,114928.8166,0,0,0
548,15,328.2767029,815.710022,807.5466919,152.9669952,2.543200016,5.666699886,22.45000076,32.21979904,0.891099989,-243330.813,114925.8925,0,0,0
1818,7,372.6166992,586.6533203,986.0133057,168.717804,9.356699944,3.566699982,19.71999931,31.28630066,-1.179800034,-241204.3075,318458.0427,0,0,0
1830,7,300.8432922,658.4332886,986.0133057,168.7149963,9.356800079,3.566699982,19.71999931,31.28630066,-1.179399967,-241053.2543,318373.524,0,0,0
1810,7,300.8432922,658.4332886,986.0133057,168.7149963,9.356800079,3.566699982,19.71999931,31.28630066,-1.179399967,-241050.9588,318365.6807,0,0,0
1795,7,319.75,645.9500122,977.5266724,167.8237,9.262200356,3.623300076,19.74670029,31.3003006,-1.104099989,-240498.2837,318557.8256,0,0,0
1829,7,319.75,645.9500122,977.5266724,167.8237,9.262200356,3.623300076,19.74670029,31.3003006,-1.104099989,-240456.3334,318577.6649,0,0,0
1825,7,319.75,645.9500122,977.5266724,167.8237,9.262200356,3.623300076,19.74670029,31.3003006,-1.104099989,-240452.0173,318580.8668,0,0,0
1811,7,319.75,645.9500122,977.5266724,167.8237,9.262200356,3.623300076,19.74670029,31.3003006,-1.104099989,-240451.9329,318527.5561,0,0,0
490,15,340.0799866,834.0366821,865.8132935,163.7395935,2.642699957,5.846700191,22.42670059,32.05899811,0.988900006,-239904.9572,117654.9609,0,0,0
523,8,434.6166992,761.5966797,1255.26001,235.1432037,4.250899792,8.673299789,20.76670074,29.98789978,3.478600025,-239837.1819,108520.751,0,0,0
528,2,572.9232788,619.0499878,1024.156738,196.6950073,2.637399912,7.656700134,22.23329926,29.1128006,3.842200041,-238727.5398,67878.37343,0,0,0
668,2,457.5766907,722.8532715,878.9066772,177.4376984,3.412100077,9.409999847,18.65999985,21.77779961,6.636700153,-238058.2847,-4064.630006,0,0,0
545,8,418.5367126,737.8566895,939.1732788,179.498703,3.217200041,7.803299904,21.7166996,31.04920006,2.549099922,-237258.1303,108456.8812,0,0,0
1807,7,349.8666992,681.6900024,846.0900269,145.0227051,9.774900436,4.433300018,20.63330078,31.91419983,0.058899999,-237129.5703,306808.9185,0,0,0
704,5,415.916687,736.9066772,707.2633057,139.6455994,2.416599989,9.520000458,17.43670082,19.1616993,6.891699791,-237061.2896,-9284.929434,0,0,0
1787,7,516.1599731,512.9432983,842.3967285,144.5122986,9.775799751,4.513299942,20.81669998,32.08420181,0.140200004,-236997.2251,306797.2248,0,0,0
1822,15,450.4866943,582.2467041,839.2866821,144.8352966,10.26819992,4.633299828,21.01670074,32.19020081,0.394300014,-236954.0562,303971.4472,0,0,0
491,7,423.7600098,733.2000122,1464.81665,277.5107117,5.360899925,8.273300171,20.59000015,30.47920036,3.403700113,-235573.5433,94350.02434,0,0,0
506,7,400.603302,728.2966919,1484.900024,281.1885986,5.275700092,8.2166996,20.61330032,30.29590034,3.27940011,-235532.1415,95794.39033,0,0,0
1783,15,319.5599976,664.4500122,846.4400024,144.9794006,10.35630035,4.25330019,20.54000092,31.76379967,-0.142100006,-235479.9208,303556.9924,0,0,0
1799,9,316.6567078,666.6066895,887.2432861,151.732193,9.317799568,4.389999866,19.79669952,31.23760033,-0.37529999,-234536.8477,309886.813,0,0,0
568,5,328.2232971,829.7467041,768.0100098,149.7171936,2.614799976,6.916699886,21.99329948,31.37030029,1.601799965,-234423.3111,108118.0935,0,0,0
518,7,407.5466919,729.8566895,1436.699951,274.2572937,5.176400185,8.409999847,20.04999924,29.90340042,3.206099987,-233943.0966,93813.07606,0,0,0
450,15,317.4233093,740.876709,999.8067017,186.5453949,8.689700127,7.449999809,17.57670021,27.36090088,0.794200003,-233578.8639,184651.3459,0,0,0
157,7,379.0799866,678.7567139,1234.33667,249.3256073,6.53910017,8.043299675,19.02330017,28.34860039,2.093100071,-233526.3303,149735.2788,0,0,0
729,15,432,753.8599854,1238.089966,245.4859924,4.248600006,8.859999657,20.99670029,27.7378006,5.754000187,-232104.6845,-2193.319339,0,0,0
658,5,428.7467041,745.1799927,1250.123291,239.3652039,4.363599777,8.633299828,20.85330009,27.06380081,5.531899929,-231535.3384,-5167.376055,0,0,0
1692,15,384.7732849,813.3933105,889.6799927,169.4362946,2.632200003,7.813300133,21.79330063,27.73200035,4.019999981,-231239.0154,51217.98177,0,0,0
451,15,396.0032959,634.4832764,846.8800049,158.7740021,7.622099876,7.869999886,18.84329987,28.8071003,1.325399995,-231011.1789,187445.7818,0,0,0
1751,15,538.9633179,664.0966797,1061.23999,202.3807068,3.437200069,8.300000191,21.40999985,27.55369949,4.822899818,-230171.4643,45936.18846,0,0,0
731,15,386.353302,817.0499878,1240.27002,240.5852966,4.244400024,8.713299751,20.95000076,27.52809906,5.872399807,-230081.4668,-2629.6633,0,0,0
728,2,386.873291,817.7766724,1245.41333,238.9141998,4.164400101,8.736700058,20.87669945,27.51790047,5.730000019,-229866.8596,-2788.400145,0,0,0
732,2,386.873291,817.7766724,1245.41333,238.9141998,4.164400101,8.736700058,20.87669945,27.51790047,5.730000019,-229845.9387,-2793.64923,0,0,0
519,15,522.0866699,658.960022,1059.013306,207.2200928,2.608200073,6.506700039,22.62999916,31.81110001,1.549900055,-228810.2503,85336.71315,0,0,0
567,8,353.5766907,836.8967285,1047.849976,202.7153931,2.1256001,8.233300209,21.15999985,30.4333992,2.932899952,-227393.3934,126081.7004,0,0,0
1779,8,419.5067139,566.9133301,1397.236694,242.6851044,19.91209984,4.22329998,20.41329956,32.5306015,-1.024000049,-227392.2835,341958.2785,0,0,0
552,8,353.5766907,836.8967285,1047.849976,202.7153931,2.1256001,8.233300209,21.15999985,30.4333992,2.932899952,-227389.4245,126078.3658,0,0,0
1629,15,403.2867126,540.3400269,1510.713257,255.8347015,14.84710026,4.599999905,19.52669907,30.54680061,-1.094099998,-226308.4405,294443.5658,0,0,0
881,7,512.2966919,639.9699707,1276.686646,239.7597046,4.76940012,8.18999958,20.00670052,28.08760071,3.929699898,-225970.6375,73834.97803,0,0,0
1579,15,390.5032959,563.6832886,1445.73999,244.1354065,14.24240017,4.826700211,20.1067009,31.17889977,-0.792800009,-225859.2586,294945.1761,0,0,0
857,7,381.0700073,781.8300171,1240.06665,241.0691071,3.782099962,8.796699524,21.13330078,29.78409958,4.212600231,-225833.6449,77244.99433,0,0,0
1628,15,374.9967041,582.9400024,1419.906738,239.9104004,13.94890022,5.083300114,20.22999954,31.28129959,-0.485599995,-225712.912,295165.0915,0,0,0
529,15,446.2333069,699.7000122,768.5300293,149.7149048,2.633699894,5.436699867,22.32999992,31.8118,0.158800006,-224543.78,102457.106,0,0,0
536,11,446.5332947,702.4633179,766.8867188,149.5099945,2.6401999,5.346700191,22.32999992,31.82789993,0.115599997,-224151.8358,103887.3004,0,0,0
527,11,446.5332947,702.4633179,766.8867188,149.5099945,2.6401999,5.346700191,22.32999992,31.82789993,0.115599997,-224137.8179,103873.9085,0,0,0
561,7,355.916687,754.6300049,1029.609985,205.4197998,3.498300076,8.430000305,21.52000046,30.8696003,3.020299911,-224010.3961,133500.9711,0,0,0
870,7,430.1300049,767.2600098,1000.789978,193.3493042,2.997900009,7.216700077,23.82670021,31.96839905,3.231800079,-223484.0779,64217.8786,0,0,0
562,8,338.2432861,773.2766724,968.9932861,187.8972931,1.774799943,6.683300018,22.26329994,31.63909912,1.435199976,-223349.0036,129549.3721,0,0,0
672,8,407.0799866,749.4099731,700.8099976,132.7904053,2.486599922,9.883299828,17.22999954,18.76530075,7.235300064,-223296.3495,-17386.29672,0,0,0
1669,15,404.5100098,669.7667236,1227.849976,206.6918945,11.63739967,6.826700211,22.30999947,33.52510071,1.311699986,-223074.8091,297261.9394,0,0,0
725,8,432.583313,719.710022,905.4832764,171.2333069,3.422199965,9.516699791,18.20669937,20.81380081,6.759300232,-223006.3597,-13856.6892,0,0,0
1678,15,440.916687,547.0866699,535.3666992,85.12670135,14.91499996,3.543299913,19.04330063,30.50429916,-2.523000002,-222996.8521,414197.6417,0,0,0
720,7,417.9767151,705.5167236,898.8532715,170.4073029,3.324599981,9.553299904,18.20000076,20.6840992,6.794000149,-222544.1699,-14185.99387,0,0,0
722,2,386.1066895,731.3433228,885.0767212,167.8043976,3.273200035,9.463299751,17.7166996,19.80270004,6.756299973,-222522.8217,-14886.94362,0,0,0
158,8,284.5499878,854.0767212,799.6967163,158.8141937,3.990999937,6.373300076,22.9666996,32.95000076,1.165699959,-222393.3565,144218.6389,0,0,0
566,15,344.2200012,874,917.7932739,179.5160065,2.639800072,7.366700172,22.34329987,31.88559914,2.22420001,-222376.8809,92680.18709,0,0,0
1741,8,570.5999756,632.0032959,1107.23999,215.3018036,3.273600101,8.273300171,22.35000038,30.92040062,5.003399849,-222376.1985,39320.65264,0,0,0
1652,15,574.4666748,430.2333069,1194.26001,198.0561981,11.8579998,5.889999866,21.26670074,32.58140182,0.152099997,-222367.0539,303414.8809,0,0,0
669,8,408.9367065,752.7733154,902.583313,171.3921967,3.360699892,9.260000229,17.79669952,20.20299911,6.532000065,-222334.0438,-16350.0146,0,0,0
1602,15,397.0967102,699.0532837,1371.15332,234.386795,12.58360004,7.176700115,22.59329987,33.85580063,1.376899958,-222178.8025,296126.3401,0,0,0
1744,15,622.2600098,584.0266724,1085.006714,211.074707,3.146699905,8.210000038,22.38999939,30.84499931,4.945799828,-222114.4062,39313.62019,0,0,0
1631,15,437.1966858,655.4232788,1340.503296,228.5756073,12.33100033,7.083300114,22.5,33.75839996,1.319200039,-221962.7121,296290.2937,0,0,0
1707,15,616.8900146,597.7133179,1041.803345,202.8424072,3.023699999,8.119999886,22.52000046,30.79929924,4.664000034,-221853.2096,39284.37138,0,0,0
1728,15,363.4767151,854.126709,1023.323303,199.1195984,2.860199928,8.083299637,22.64669991,30.77039909,4.480000019,-221833.0026,39907.67876,0,0,0
1681,8,289.8399963,674.1867065,532.3200073,84.23280334,13.5685997,3.483299971,19.92000008,31.17939949,-1.941300035,-221315.4769,426575.0547,0,0,0
569,11,584.3267212,641.7667236,965.0767212,187.9105988,2.711600065,7.366700172,23.90999985,32.10739899,3.282599926,-221283.3853,63911.24104,0,0,0
1683,8,260.8833008,736.5532837,534.8967285,84.91690063,13.42370033,3.586699963,19.9633007,31.17900085,-1.716699958,-221231.5977,426894.388,0,0,0
1729,15,374.2966919,833.6199951,1088.463257,212.1051941,3.104599953,8.036700249,22,30.37890053,4.441299915,-221210.2734,37854.87808,0,0,0
1352,2,537.960022,582.3300171,698.3532715,132.2433929,2.956700087,9.479999542,17.11330032,18.84110069,7.289599895,-221173.1029,-49316.92416,0,0,0
1351,4,395.2366943,734.123291,804.2067261,154.1334076,3.316400051,9.173299789,17.64999962,20.25099945,6.95510006,-220547.9131,-49291.95788,0,0,0
824,7,505.769989,708.4633179,1018.200012,197.8379974,2.870800018,7.940000057,22.96999931,31.27219963,4.175300121,-220173.6359,62103.48176,0,0,0
1706,15,397.6300049,828.8800049,836.710022,163.2375946,2.360199928,7.553299904,22.70669937,29.89830017,3.556400061,-219950.7223,40223.27577,0,0,0
873,15,495.7333069,725.1433105,974.5567017,190.8901062,2.598799944,7.760000229,23.35000038,31.5890007,3.717600107,-219943.3302,62118.46682,0,0,0
821,15,374.6600037,841.5667114,1139.866699,218.9075928,3.596600056,8.296699524,21.1067009,29.39139938,4.547999859,-219749.1711,58944.12699,0,0,0
