"","fvegHW90mask","aetjun_90m","cwdjun_90m","pptjun_90m","pptdjf_90m","pptjja_90m","tmnjun_90m","tmxjun_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",7,110.089698791504,33.4636993408203,56.5133018493652,423.4130859375,27.2830009460449,8.99429988861084,23.4062995910645,26.0459003448486,1.58770000934601,-327494.6972,433894.445955
"2",7,103.684997558594,51.3782997131348,52.8839988708496,387.300415039062,25.1028995513916,9.65999984741211,24.8526992797852,26.5650997161865,3.17600011825562,-329591.419305,432965.34026
"3",7,104.074699401855,47.9352989196777,53.2047004699707,389.495208740234,25.2709999084473,9.40499973297119,23.8512992858887,25.410400390625,2.73219990730286,-334770.440225,432998.336459
"4",7,140.343994140625,10.649299621582,27.0149993896484,282.857788085938,16.4463005065918,9.68430042266846,28.0370006561279,31.5307006835938,0.441900014877319,-297690.726189,376629.647013
"5",7,120.865699768066,28.5643005371094,23.3463001251221,231.343002319336,12.4621000289917,10.6149997711182,28.8733005523682,31.9608993530273,2.62680006027222,-295515.892293,370627.206266
"6",7,28.4699993133545,118.766700744629,19.4209995269775,250.999206542969,11.4558000564575,9.21700000762939,28.2696990966797,31.6882991790771,1.86909997463226,-302061.918681,328178.187268
"7",7,28.4699993133545,118.766700744629,19.4209995269775,250.999206542969,11.4558000564575,9.21700000762939,28.2696990966797,31.6882991790771,1.86909997463226,-302061.918681,328178.187268
"8",7,26.4172992706299,136.929306030273,13.5909996032715,233.11799621582,5.80819988250732,10.3920001983643,27.1480007171631,30.1177005767822,2.55259990692139,-258452.186569,147182.995225
"9",15,16.1877002716064,164.845703125,12.5853004455566,161.628601074219,5.25979995727539,13.7709999084473,30.104700088501,32.9353981018066,3.70740008354187,-115504.722182,145775.308178
"10",15,118.532997131348,66.3803024291992,13.1149997711182,158.631607055664,5.54330015182495,14.1660003662109,31.6912994384766,34.5821990966797,3.85809993743896,-104072.199048,143032.058945
"11",15,17.3862991333008,166.600296020508,12.9486999511719,160.720794677734,5.47200012207031,13.9079999923706,31.305700302124,34.2291984558105,3.67510008811951,-103043.762479,142574.460548
"12",15,17.3862991333008,166.600296020508,12.9486999511719,160.720794677734,5.47200012207031,13.9079999923706,31.305700302124,34.2291984558105,3.67510008811951,-103043.762479,142574.460548
"13",15,17.3862991333008,166.600296020508,12.9486999511719,160.720794677734,5.47200012207031,13.9079999923706,31.305700302124,34.2291984558105,3.67510008811951,-103043.762479,142574.460548
"14",15,19.7562999725342,162.367004394531,12.7903003692627,163.354797363281,5.28630018234253,14.1330003738403,31.0923004150391,33.9779014587402,3.77909994125366,-106773.284928,141444.25014
"15",15,19.7562999725342,162.367004394531,12.7903003692627,163.354797363281,5.28630018234253,14.1330003738403,31.0923004150391,33.9779014587402,3.77909994125366,-106773.284928,141444.25014
"16",15,128.676300048828,51.630298614502,12.0507001876831,161.845199584961,5.05770015716553,14.1106996536255,30.5230007171631,33.3005981445312,3.8561999797821,-109021.256374,140940.450784
"17",15,17.0412998199463,163.435302734375,15.1300001144409,203.739807128906,6.44540023803711,12.8409996032715,28.9153003692627,31.7028999328613,2.19519996643066,-81461.6134876,121981.844958
"18",2,109.985000610352,71.7949981689453,15.3999996185303,206.435195922852,6.55830001831055,12.8636999130249,28.3512992858887,31.1499996185303,2.00570011138916,-81839.0269747,121478.781721
"19",2,109.985000610352,71.7949981689453,15.3999996185303,206.435195922852,6.55830001831055,12.8636999130249,28.3512992858887,31.1499996185303,2.00570011138916,-81839.0269747,121478.781721
"20",2,109.985000610352,71.7949981689453,15.3999996185303,206.435195922852,6.55830001831055,12.8636999130249,28.3512992858887,31.1499996185303,2.00570011138916,-81839.0269747,121478.781721
"21",15,6.87930011749268,165.810699462891,5.50699996948242,152.966995239258,2.54320001602173,10.2510004043579,29.3607006072998,32.219799041748,0.891099989414215,-243346.597064,114929.36175
"22",15,19.6676998138428,157.282302856445,10.8452997207642,159.949005126953,4.4539999961853,12.9013004302979,28.3843002319336,31.3078002929688,2.60369992256165,-82406.7402592,106073.662918
"23",15,5.7367000579834,169.826705932617,5.7367000579834,118.684799194336,2.46000003814697,12.8680000305176,31.3917007446289,33.6268005371094,1.85689997673035,-200336.042573,101556.91028
"24",2,5.66200017929077,171.664703369141,5.66200017929077,121.487602233887,2.4818000793457,12.7040004730225,29.9619998931885,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"25",2,5.66200017929077,171.664703369141,5.66200017929077,121.487602233887,2.4818000793457,12.7040004730225,29.9619998931885,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"26",15,NA,NA,7.90430021286011,125.859100341797,3.26519989967346,13.774299621582,30.4300003051758,32.7643013000488,4.15420007705688,-90966.8270969,84454.1095212
"27",15,NA,NA,7.90430021286011,125.859100341797,3.26519989967346,13.774299621582,30.4300003051758,32.7643013000488,4.15420007705688,-90966.8270969,84454.1095212
"28",15,26.4666996002197,151.38330078125,5.80970001220703,190.159194946289,2.55590009689331,11.2419996261597,29.7462997436523,31.57200050354,3.67190003395081,-219650.865838,62265.7974379
"29",15,26.4666996002197,151.38330078125,5.80970001220703,190.159194946289,2.55590009689331,11.2419996261597,29.7462997436523,31.57200050354,3.67190003395081,-219650.865838,62265.7974379
"30",15,26.4666996002197,151.38330078125,5.80970001220703,190.159194946289,2.55590009689331,11.2419996261597,29.7462997436523,31.57200050354,3.67190003395081,-219650.865838,62265.7974379
