"","fvegHW90mask","aetapr_90m","cwdapr_90m","pptapr_90m","pptdjf_90m","pptjja_90m","tmnapr_90m","tmxapr_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,82.6880035400391,2.20300006866455,33.5647010803223,85.0690002441406,14.910400390625,1.93029999732971,17.1893005371094,30.4360008239746,-2.53889989852905,-222995.71954,414197.030302
"2",7,74.4602966308594,0,37.8773002624512,105.771102905273,11.5712003707886,2.01929998397827,18.0186996459961,30.9533996582031,-2.02320003509521,-256866.435017,406015.985713
"3",8,89.3619995117188,1.08369994163513,115.941703796387,242.685104370117,19.9120998382568,2.37100005149841,18.9950008392334,32.5306015014648,-1.02400004863739,-227391.148532,341957.671596
"4",15,101.700698852539,0,153.93229675293,322.023101806641,17.4932994842529,5.61399984359741,19.7549991607666,32.9030990600586,1.69439995288849,-189322.376648,327381.214373
"5",15,101.700698852539,0,153.93229675293,322.023101806641,17.4932994842529,5.61399984359741,19.7549991607666,32.9030990600586,1.69439995288849,-189322.376648,327381.214373
"6",15,99.2033004760742,0,152.145004272461,318.836303710938,16.8878002166748,5.78929996490479,20.173999786377,33.1897010803223,1.7824000120163,-189295.754531,327092.905494
"7",15,NA,NA,149.156295776367,323.098388671875,18.1144008636475,6.52199983596802,19.9803009033203,33.1048011779785,2.3808000087738,-187693.691194,321340.379188
"8",7,100.403701782227,5.50299978256226,140.854293823242,314.630401611328,16.494800567627,6.57499980926514,20.0646991729736,33.2207984924316,2.24000000953674,-188690.135647,319821.554856
"9",7,101.712303161621,5.11100006103516,135.351303100586,309.893798828125,15.487099647522,6.625,20.132999420166,33.2537994384766,2.07480001449585,-189959.943153,319383.054738
"10",15,99.7789993286133,6.80100011825562,132.529693603516,306.033905029297,13.5832996368408,7.13700008392334,20.0259990692139,33.1898002624512,2.56719994544983,-195641.993605,311912.314545
"11",15,85.4913024902344,8.86900043487549,61.9863014221191,159.611694335938,9.36130046844482,2.68799996376038,19.0400009155273,32.298900604248,0.358999997377396,-248790.953648,297728.432363
"12",15,87.1917037963867,13.7180004119873,93.4132995605469,206.69189453125,11.6373996734619,4.73629999160767,19.9237003326416,33.5251007080078,1.31169998645782,-223073.673158,297261.335686
"13",15,94.9412994384766,7.51730012893677,99.5516967773438,228.575607299805,12.331000328064,4.95529985427856,20.0587005615234,33.7583999633789,1.31920003890991,-221961.576195,296289.690049
"14",7,79.4690017700195,13.4786996841431,61.6753005981445,159.993804931641,9.27299976348877,2.69530010223389,19.1483001708984,32.3970985412598,0.325100004673004,-249549.033285,296307.811394
"15",15,81.4702987670898,6.79930019378662,107.084297180176,239.910400390625,13.9489002227783,3.11299991607666,17.8859996795654,31.2812995910645,-0.485599994659424,-225711.775777,295164.487841
"16",15,84.1603012084961,1.25469994544983,113.179000854492,255.834701538086,14.8471002578735,2.54130005836487,17.2040004730225,30.5468006134033,-1.09409999847412,-226307.304158,294442.962133
"17",15,84.1603012084961,1.25469994544983,113.179000854492,255.834701538086,14.8471002578735,2.54130005836487,17.2040004730225,30.5468006134033,-1.09409999847412,-226307.304158,294442.962133
"18",15,101.314697265625,8.53870010375977,71.640998840332,187.281600952148,10.2178001403809,7.99130010604858,21.9906997680664,34.9295997619629,3.44569993019104,-188764.264475,293846.681235
"19",15,102.375,2.10500001907349,114.069999694824,289.309692382812,13.7361001968384,6.73729991912842,20.5550003051758,34.2270011901855,2.22979998588562,-214230.124207,289732.724054
"20",7,99.0893020629883,0,103.024696350098,246.92610168457,7.83960008621216,4.99900007247925,18.8332996368408,29.5041999816895,3.34960007667542,-323978.599636,254026.147032
"21",7,99.0893020629883,0,103.024696350098,246.92610168457,7.83960008621216,4.99900007247925,18.8332996368408,29.5041999816895,3.34960007667542,-323978.599636,254026.147032
"22",7,96.3576965332031,0,106.539703369141,257.93798828125,8.91740036010742,5.25570011138916,18.819299697876,29.3936004638672,3.61479997634888,-330805.921879,250935.304737
"23",7,96.3576965332031,0,106.539703369141,257.93798828125,8.91740036010742,5.25570011138916,18.819299697876,29.3936004638672,3.61479997634888,-330805.921879,250935.304737
"24",7,99.6362991333008,0,109.417999267578,277.790588378906,10.0240001678467,5.28929996490479,17.7880001068115,27.8416996002197,3.45329999923706,-332205.132975,239286.799486
"25",7,97.7799987792969,0,119.922996520996,316.526397705078,9.29500007629395,5.0366997718811,17.7049999237061,28.0272006988525,3.29390001296997,-323613.315408,229056.383101
"26",2,78.9339981079102,33.7760009765625,103.433700561523,241.548202514648,8.01459980010986,7.43270015716553,19.1947002410889,31.5818004608154,4.02510023117065,-150104.306524,207406.867081
"27",7,91.1072998046875,0.996999979019165,93.117301940918,194.833892822266,9.15170001983643,3.05170011520386,19.1446990966797,32.2448997497559,0.374700009822845,-262289.386319,205556.873924
"28",15,91.9142990112305,0,51.1697006225586,158.774002075195,7.62209987640381,4.53599977493286,15.8859996795654,28.8071002960205,1.32539999485016,-231010.038418,187445.185447
"29",15,103.012298583984,10.9010000228882,84.8762969970703,198.037796020508,6.67980003356934,8.04100036621094,20.1466999053955,32.6682014465332,4.21439981460571,-124400.072175,168212.451821
"30",15,103.012298583984,10.9010000228882,84.8762969970703,198.037796020508,6.67980003356934,8.04100036621094,20.1466999053955,32.6682014465332,4.21439981460571,-124400.072175,168212.451821
"31",15,103.012298583984,10.9010000228882,84.8762969970703,198.037796020508,6.67980003356934,8.04100036621094,20.1466999053955,32.6682014465332,4.21439981460571,-124400.072175,168212.451821
