"","fvegHW90mask","bird90","mammal90","reptile90","aetaug_90m","cwdaug_90m","pptaug_90m","pptdjf_90m","pptjja_90m","tmnaug_90m","tmxaug_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,190,48,17,2.11529994010925,152.781295776367,2.11529994010925,130.31379699707,2.53999996185303,12.5966997146606,25.5400009155273,24.7807998657227,5.60080003738403,-198115.097216225,-10502.0957682575
"2",15,194,48,19,1.85570001602173,152.594299316406,1.85570001602173,127.366096496582,2.36730003356934,12.6906995773315,24.5156993865967,24.051700592041,5.83720016479492,-198848.789473283,-9614.80374825047
"3",15,190,48,17,2.50329995155334,153.403305053711,2.50329995155334,136.948104858398,2.82969999313354,13.0767002105713,26.2240009307861,24.9132995605469,6.49270009994507,-197519.416102011,-11492.3512480436
"4",15,195,52,15,1.98300004005432,160.420303344727,1.98300004005432,245.485992431641,4.24860000610352,12.3039999008179,29.4542999267578,27.7378005981445,5.75400018692017,-232104.684548174,-2193.31933867745
"5",15,172,47,17,1.52129995822906,168.33869934082,1.52129995822906,190.159194946289,2.55590009689331,12.1127004623413,32.3390007019043,31.57200050354,3.67190003395081,-219652.010490347,62266.3838165672
"6",2,149,45,25,0.287299990653992,160.712707519531,0.287299990653992,112.318603515625,0.658900022506714,12.7143001556396,28.7856998443604,28.2604007720947,4.30819988250732,-141931.838907426,-93305.3188479813
"7",7,186,49,18,0.769699990749359,159.520294189453,0.769699990749359,153.087997436523,1.90659999847412,11.4917001724243,25.8962993621826,25.2560997009277,4.70410013198853,-170871.144056425,-110504.729191934
