"","fvegHW90mask","bird90","mammal90","reptile90","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"13148",3,127,55,24,199.756698608398,1208.66333007812,212.516693115234,38.2201995849609,1.02119994163513,7.84000015258789,23.7332992553711,33.1133003234863,2.30279994010925,26988.5435296,-317546.828641
"13149",3,75,36,29,132.843307495117,1434.98669433594,134.293304443359,21.609899520874,6.72230005264282,11.8999996185303,25.6067008972168,36.5004005432129,4.25299978256226,310747.274953,-317790.463965
"13150",3,99,33,26,116.87670135498,1348.94665527344,129.773300170898,25.1891994476318,2.39499998092651,9.26669979095459,25.4466991424561,35.9935989379883,1.19190001487732,194603.986499,-317622.099698
"13151",3,79,36,29,182.443298339844,1294.10668945312,191.869995117188,27.8132991790771,10.4038000106812,11.6167001724243,23.9200000762939,34.834300994873,3.50939989089966,386888.742888,-317793.033733
"13152",3,85,38,31,190.403305053711,1149.87329101562,218.25,25.4829006195068,17.4899005889893,8.77999973297119,21.7233009338379,32.290699005127,0.87169998884201,422140.197935,-318382.06946
"13153",8,153,47,19,329.230010986328,1087.9267578125,572.460021972656,106.614601135254,1.15100002288818,9.31330013275146,23.7667007446289,31.8542995452881,4.08879995346069,-29657.3014911,-318276.850642
"13154",2,152,48,24,241.973297119141,1202.29333496094,253.020004272461,39.9370994567871,1.39059996604919,11.6300001144409,25.5,35.4071006774902,4.63870000839233,111166.221942,-318011.851343
"13155",3,76,35,31,91.8566970825195,1433.85668945312,95.3966979980469,13.8685998916626,6.67799997329712,12.4167003631592,29.1200008392334,40.6194000244141,2.38199996948242,336052.956381,-318323.950761
"13156",8,159,51,25,311.600006103516,953.513305664062,399.326690673828,69.0992965698242,3.79060006141663,7.2866997718811,18.573299407959,28.5210990905762,0.855300009250641,124701.779948,-318170.000218
"13157",3,77,35,30,108.730003356934,1431.89001464844,111.930000305176,15.0770998001099,7.49030017852783,12.6133003234863,29.1833000183105,40.7061004638672,2.42459988594055,371581.726174,-317991.279191
"13158",2,125,52,23,262.940002441406,1026.35998535156,289.973297119141,50.8557014465332,4.03219985961914,5.91330003738403,19.7733001708984,29.0156993865967,-0.13910000026226,142799.247162,-318367.559135
"13159",2,178,51,20,340.350006103516,985.700012207031,513.263305664062,96.7733001708984,1.22360002994537,7.70669984817505,22.2166996002197,25.5548000335693,4.07679986953735,-44383.2538057,-318268.748932
"13160",3,133,39,15,156.416702270508,1337.41674804688,156.246704101562,25.9428997039795,0.598699986934662,11.5900001525879,25.5533008575439,35.5922012329102,5.10470008850098,50732.2277255,-318454.86148
"13161",15,190,50,18,355.023284912109,938.953308105469,459.239990234375,86.6750030517578,1.17089998722076,8.35669994354248,20.4932994842529,22.237699508667,5.30590009689331,-56730.6772909,-318426.157306
"13162",3,103,34,26,150.756698608398,1316.85998535156,160.813293457031,31.7807006835938,2.25929999351501,9.64999961853027,24.8633003234863,35.1585998535156,1.39970004558563,173093.175874,-318452.95164
"13163",11,136,37,17,149.036697387695,1345.11999511719,147.533294677734,23.2914009094238,0.458799988031387,11.1899995803833,25.7099990844727,35.5712013244629,3.86299991607666,79299.2251917,-318862.543901
"13164",3,79,34,30,163.353302001953,1306.83325195312,163.716705322266,21.1021995544434,11.7557001113892,13.6632995605469,27.4232997894287,38.5149993896484,4.45779991149902,468746.75965,-318691.360423
"13165",3,105,34,26,154.639999389648,1312.97668457031,164.606704711914,32.6273002624512,2.24110007286072,9.69999980926514,24.7266998291016,35.0284004211426,1.50399994850159,172152.305339,-318804.117433
