"","fvegHW90mask","bird90","mammal90","reptile90","aetnov_90m","cwdnov_90m","pptnov_90m","pptdjf_90m","pptjja_90m","tmnnov_90m","tmxnov_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",2,142,55,21,36.1183013916016,4.75229978561401,110.482299804688,164.4208984375,4.93499994277954,5.3863000869751,16.2443008422852,31.8910007476807,2.99090003967285,-56006.8873390229,45626.7598213479
"2",15,175,48,17,33.5876998901367,7.56230020523071,80.2907028198242,125.222900390625,1.81959998607635,6.40129995346069,17.6443004608154,28.1429996490479,4.25570011138916,-175867.17634137,-27089.8908462478
"3",4,189,48,17,34.4070014953613,7.22300004959106,84.7492980957031,134.957595825195,2.6168999671936,9.02200031280518,16.5757007598877,25.2066993713379,6.69659996032715,-197338.288098562,-9888.83294325368
"4",15,172,49,19,33.4443016052246,4.81969976425171,107.853698730469,150.714294433594,3.81279993057251,5.14370012283325,16.3159999847412,31.7007999420166,2.72769999504089,-88071.9186286304,97774.2988458904
"5",15,142,53,22,32.0836982727051,4.22399997711182,107.00129699707,149.380996704102,3.94219994544983,6.11129999160767,16.7080001831055,32.8647994995117,3.76379990577698,-90179.8912312625,99942.4663755973
"6",5,170,47,19,34.6860008239746,4.10930013656616,109.706298828125,163.720397949219,4.34759998321533,4.44369983673096,17.1937007904053,32.3291015625,2.33870005607605,-73662.0578948159,74400.6630221955
"7",7,124,56,17,35.1747016906738,1.95099997520447,158.317001342773,229.025802612305,8.15330028533936,2.53329992294312,15.3857002258301,30.4944000244141,0.501699984073639,-40063.2431389123,85199.8298610868
"8",7,125,56,17,34.8602981567383,2.0443000793457,157.585693359375,227.598403930664,8.035400390625,2.40429997444153,14.898699760437,29.9018993377686,0.252600014209747,-43487.6978134101,85031.5901203891
"9",15,125,56,17,32.9603004455566,1.59029996395111,157.785705566406,227.977798461914,8.10179996490479,2.43129992485046,15.6097002029419,30.4687995910645,0.477699995040894,-41997.4877055698,84035.6868151799
"10",15,169,50,19,33.4620018005371,4.56300020217896,95.9980010986328,138.755004882812,3.50169992446899,5.85029983520508,17.0792999267578,32.5638008117676,3.6686999797821,-77551.3131060981,87536.4231116287
"11",9,171,48,19,NA,NA,86.5353012084961,125.892997741699,3.26810002326965,6.36730003356934,17.1317005157471,32.782600402832,4.11770009994507,-90579.4186585701,84425.9507830827
"12",7,135,54,22,34.0289993286133,3.69429993629456,116.21070098877,166.681900024414,5.31529998779297,4.40729999542236,16.6200008392334,32.0407981872559,2.20230007171631,-69425.7847954953,81082.3060198184
"13",8,169,49,19,32.5942993164062,4.80229997634888,89.7490005493164,130.359603881836,3.28620004653931,6.22930002212524,17.0690002441406,32.7505989074707,4.05999994277954,-89861.4542551495,84677.0803539325
"14",8,169,49,19,33.3473014831543,5.82600021362305,89.2902984619141,129.523895263672,3.2846999168396,6.12069988250732,17.0909996032715,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"15",15,171,49,19,NA,NA,86.6669998168945,125.859100341797,3.26519989967346,6.39230012893677,17.1203002929688,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"16",15,148,52,18,28.5002994537354,0.0820000022649765,168.037002563477,232.085693359375,8.62530040740967,4.97599983215332,14.8826999664307,30.5923004150391,3.34419989585876,-307450.852502629,245898.7619187
"17",15,150,55,19,25.0842990875244,1.10669994354248,166.611694335938,226.283294677734,5.53079986572266,0.675300002098083,15.7896995544434,32.5066986083984,-0.762000024318695,-252819.937781857,162342.419619686
"18",5,157,53,19,26.7686996459961,2.15630006790161,142.254302978516,198.062896728516,4.97009992599487,2.16000008583069,15.7117004394531,31.3607006072998,0.565100014209747,-254387.141540801,141383.171993049
"19",15,151,55,19,24.8349990844727,1.06200003623962,167.949295043945,227.894104003906,5.52860021591187,0.62830001115799,15.871000289917,32.3571014404297,-0.861999988555908,-251901.619932217,161902.63048688
"20",15,157,49,19,30.9132995605469,5.6532998085022,104.843299865723,175.825897216797,2.65129995346069,5.3572998046875,16.6133003234863,31.8589992523193,3.37800002098083,-218963.099500708,93161.2862675292
"21",7,164,48,19,31.9272994995117,2.37069988250732,183.500701904297,274.257293701172,5.17640018463135,5.73570013046265,14.0607004165649,29.9034004211426,3.20609998703003,-233943.096611676,93813.0760562401
"22",11,170,50,18,25.4519996643066,5.36229991912842,86.0643005371094,149.509994506836,2.64019989967346,1.71300005912781,16.867000579834,31.8278999328613,0.115599997341633,-224151.835786525,103887.300373116
"23",15,163,49,19,26.7796993255615,4.4342999458313,104.859703063965,152.966995239258,2.54320001602173,2.58570003509521,16.4179992675781,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
"24",7,158,54,19,32.3629989624023,1.21570003032684,178.733001708984,233.11799621582,5.80819988250732,4.04670000076294,14.3280000686646,30.1177005767822,2.55259990692139,-258453.330789403,147183.589665459
"25",8,163,48,19,29.7509994506836,4.04370021820068,120.428298950195,179.49870300293,3.21720004081726,4.44169998168945,16.3246994018555,31.0492000579834,2.54909992218018,-237258.130324528,108456.881188753
"26",8,159,55,29,40.092700958252,29.9172992706299,59.3203010559082,146.007202148438,3.44689989089966,7.75029993057251,19.1459999084473,28.1900997161865,5.00239992141724,203460.30164269,-420686.219086002
"27",8,154,55,29,36.9253005981445,26.5112991333008,55.7210006713867,138.951995849609,3.56970000267029,9.06830024719238,21.2252998352051,30.2444000244141,6.4608998298645,204951.550544056,-418801.332126392
"28",8,153,57,29,41.0553016662598,39.5180015563965,50.766300201416,134.658096313477,2.72989988327026,9.22369956970215,20.8432998657227,30.7500991821289,6.57469987869263,212806.83636804,-426012.337522857
"29",8,154,56,29,40.2187004089355,35.7846984863281,54.6986999511719,148.158996582031,2.90619993209839,7.65030002593994,19.3610000610352,29.9972991943359,4.99569988250732,215088.392082628,-425032.051971622
"30",15,173,52,18,34.2700004577637,14.3463001251221,69.0709991455078,126.271102905273,3.48130011558533,4.29729986190796,17.7856998443604,34.8126983642578,1.81980001926422,24206.5323157842,-72319.0047230134
