"","fvegHW90mask","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",11,325.836700439453,979.369995117188,327.386688232422,60.0727996826172,0.875199973583221,9.36330032348633,24.0300006866455,33.2160987854004,4.02120018005371,-122492.728985068,-26154.5462699723
"2",15,322.726715087891,851.753295898438,662.63671875,121.468597412109,2.01780009269714,8.88669967651367,19.6499996185303,24.843599319458,5.4640998840332,-185784.75625184,-25874.1033316948
"3",15,358.769989013672,818.909973144531,567.603271484375,104.628898620605,1.85780000686646,8.5,21.2999992370605,27.8148994445801,3.99469995498657,-148937.889891545,-46737.8962519984
"4",15,358.769989013672,818.909973144531,567.603271484375,104.628898620605,1.85780000686646,8.5,21.2999992370605,27.8148994445801,3.99469995498657,-148937.889891545,-46737.8962519984
"5",15,358.769989013672,818.909973144531,567.603271484375,104.628898620605,1.85780000686646,8.5,21.2999992370605,27.8148994445801,3.99469995498657,-148939.870183338,-46849.0440850342
"6",15,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.019660722,-30961.0194165003
"7",15,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.019660722,-30961.0194165003
"8",15,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.019660722,-30961.0194165003
"9",15,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185044.019660722,-30961.0194165003
"10",15,362.093292236328,816.053283691406,613.973327636719,113.610702514648,1.77530002593994,9.24330043792725,19.7166996002197,23.6702003479004,5.65899991989136,-185018.60383703,-31006.0605807821
"11",7,359.029998779297,831.033325195312,728.396728515625,133.409805297852,2.5158998966217,9.50329971313477,19.38330078125,25.0067005157471,6.31230020523071,-190427.007627438,-20309.6663465863
"12",7,360.700012207031,823.976684570312,737.986694335938,135.164901733398,2.66359996795654,9.58670043945312,19.3432998657227,24.9720993041992,6.39580011367798,-190995.509746921,-20174.3397880113
"13",7,360.700012207031,823.976684570312,737.986694335938,135.164901733398,2.66359996795654,9.58670043945312,19.3432998657227,24.9720993041992,6.39580011367798,-190995.509746921,-20174.3397880113
"14",7,418.273284912109,784.809997558594,731.190002441406,134.029006958008,2.61879992485046,9.58670043945312,19.36669921875,24.9797992706299,6.47440004348755,-191264.796363473,-20412.7947083269
"15",15,356.733306884766,828.123291015625,560.583312988281,103.718002319336,1.85010004043579,9.02330017089844,20.9433002471924,27.1721000671387,5.09560012817383,-162215.532730336,-51905.5485201939
"16",15,356.733306884766,828.123291015625,560.583312988281,103.718002319336,1.85010004043579,9.02330017089844,20.9433002471924,27.1721000671387,5.09560012817383,-162215.532730336,-51905.5485201939
"17",15,357.589996337891,833.173278808594,562.566711425781,104.012199401855,1.83290004730225,8.80669975280762,21.2766990661621,27.4743995666504,4.84810018539429,-161904.781861028,-54090.8079870436
"18",7,360.700012207031,823.976684570312,737.986694335938,135.164901733398,2.66359996795654,9.58670043945312,19.3432998657227,24.9720993041992,6.39580011367798,-190995.509746921,-20174.3397880113
"19",15,533.190002441406,651.4033203125,595.283325195312,110.335403442383,1.71200001239777,9.48999977111816,19.7467002868652,23.5986003875732,5.81300020217896,-185111.540958374,-31226.3869362632
"20",5,376.75,791.736694335938,643.503295898438,118.538803100586,1.82179999351501,9.54329967498779,19.5266990661621,23.2644004821777,6.16520023345947,-188362.216624062,-26616.8830096158
"21",5,338.510009765625,837.059997558594,609.780029296875,115.477996826172,1.85909998416901,10.2700004577637,19.1466999053955,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"22",15,385.63330078125,859.303283691406,394.630004882812,72.35009765625,1.17190003395081,8.56669998168945,22.5632991790771,29.8691005706787,3.99200010299683,-156700.694561085,-40213.9471882391
"23",5,424.943298339844,792.043273925781,482.779998779297,89.8442993164062,1.49600005149841,10.1167001724243,20.3299999237061,24.7115993499756,6.08869981765747,-180576.241105654,-41377.5457223682
"24",5,338.510009765625,837.059997558594,609.780029296875,115.477996826172,1.85909998416901,10.2700004577637,19.1466999053955,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"25",5,338.510009765625,837.059997558594,609.780029296875,115.477996826172,1.85909998416901,10.2700004577637,19.1466999053955,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"26",7,359.029998779297,831.033325195312,728.396728515625,133.409805297852,2.5158998966217,9.50329971313477,19.38330078125,25.0067005157471,6.31230020523071,-190427.007627438,-20309.6663465863
"27",5,338.510009765625,837.059997558594,609.780029296875,115.477996826172,1.85909998416901,10.2700004577637,19.1466999053955,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"28",5,338.510009765625,837.059997558594,609.780029296875,115.477996826172,1.85909998416901,10.2700004577637,19.1466999053955,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"29",5,424.943298339844,792.043273925781,482.779998779297,89.8442993164062,1.49600005149841,10.1167001724243,20.3299999237061,24.7115993499756,6.08869981765747,-180576.241105654,-41377.5457223682
