"","fvegHW90mask","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",11,33.9790000915527,135.254302978516,16.047700881958,60.0727996826172,0.875199973583221,11.4119997024536,27.8003005981445,33.2160987854004,4.02120018005371,-122492.728985068,-26154.5462699723
"2",15,45.9163017272949,97.5336990356445,26.8483009338379,142.013900756836,3.46320009231567,9.02600002288818,19.6362991333008,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"3",15,60.7610015869141,83.6790008544922,26.75830078125,141.807998657227,3.6159999370575,8.80830001831055,19.6443004608154,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"4",15,60.7610015869141,83.6790008544922,26.75830078125,141.807998657227,3.6159999370575,8.80830001831055,19.6443004608154,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"5",7,96.0096969604492,44.6969985961914,74.029296875,229.124206542969,8.18710041046143,6.68330001831055,21.8743000030518,30.0345993041992,0.146899998188019,-41253.9156409409,83291.6364703421
"6",5,88.4292984008789,69.8106994628906,61.5876998901367,231.919799804688,7.42129993438721,9.05529975891113,22.7129993438721,30.9659004211426,2.5460000038147,-68450.5702587717,101199.821617407
"7",8,86.2606964111328,69.0827026367188,62.2070007324219,226.89079284668,7.38180017471313,9.33930015563965,22.895299911499,31.0330009460449,2.71860003471375,-66765.4264168331,104022.520426256
"8",15,79.7586975097656,68.568000793457,74.2593002319336,229.312393188477,8.11979961395264,6.70130014419556,21.971700668335,30.073299407959,0.199799999594688,-41972.3187925915,84375.6908175657
"9",15,79.7586975097656,68.568000793457,74.2593002319336,229.312393188477,8.11979961395264,6.70130014419556,21.971700668335,30.073299407959,0.199799999594688,-41972.3187925915,84375.6908175657
"10",15,79.7586975097656,68.568000793457,74.2593002319336,229.312393188477,8.11979961395264,6.70130014419556,21.971700668335,30.073299407959,0.199799999594688,-41972.3187925915,84375.6908175657
"11",9,134.804000854492,4.19600009918213,52.3862991333008,283.729095458984,9.35900020599365,7.74669981002808,21.7737007141113,28.2045993804932,3.63940000534058,-323075.21238458,234281.093673832
"12",9,134.804000854492,4.19600009918213,52.3862991333008,283.729095458984,9.35900020599365,7.74669981002808,21.7737007141113,28.2045993804932,3.63940000534058,-323075.21238458,234281.093673832
"13",2,133.323303222656,0,65.0893020629883,265.372192382812,10.5749998092651,7.55469989776611,21.3500003814697,27.6315994262695,3.69320011138916,-342786.899710361,265054.153418188
"14",15,43.918701171875,110.50129699707,30.3453006744385,152.966995239258,2.54320001602173,7.00069999694824,24.8612995147705,32.219799041748,0.891099989414215,-243347.741396525,114929.953181879
"15",15,43.918701171875,110.50129699707,30.3453006744385,152.966995239258,2.54320001602173,7.00069999694824,24.8612995147705,32.219799041748,0.891099989414215,-243347.741396525,114929.953181879
"16",7,29.551700592041,116.591697692871,22.2150001525879,165.015899658203,3.33859992027283,8.56729984283447,21.5042991638184,28.0820007324219,2.12829995155334,215512.334595103,-417326.230810398
"17",7,29.551700592041,116.591697692871,22.2150001525879,165.015899658203,3.33859992027283,8.56729984283447,21.5042991638184,28.0820007324219,2.12829995155334,215512.334595103,-417326.230810398
"18",15,108.023696899414,58.2397003173828,37.3289985656738,162.773193359375,5.07609987258911,9.13770008087158,23.5599994659424,31.6928005218506,1.68330001831055,33967.4995023025,-70025.1889081234
"19",15,62.8680000305176,100.788696289062,36.1323013305664,169.968597412109,5.47069978713989,8.68130016326904,22.9867000579834,31.0139999389648,1.42569994926453,35896.3277186554,-73013.0111493408
"20",15,62.8680000305176,100.788696289062,36.1323013305664,169.968597412109,5.47069978713989,8.68130016326904,22.9867000579834,31.0139999389648,1.42569994926453,35896.3277186554,-73013.0111493408
"21",15,79.7606964111328,84.3793029785156,35.2542991638184,169.716796875,5.54290008544922,8.59070014953613,23.0407009124756,31.0130996704102,1.35230004787445,36337.0670250337,-74092.7322137295
"22",5,NA,NA,21.0979995727539,121.633102416992,2.13919997215271,10.4567003250122,17.0130004882812,18.8568992614746,7.30719995498657,-222182.622139374,-18682.7179273502
"23",8,46.5013008117676,99.1352996826172,23.7073001861572,132.790405273438,2.48659992218018,10.2163000106812,17.1560001373291,18.7653007507324,7.23530006408691,-223296.349475243,-17386.2967213332
