"","fvegHW90mask","aetmar_90m","cwdmar_90m","pptmar_90m","pptdjf_90m","pptjja_90m","tmnmar_90m","tmxmar_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"5",7,70.9872970581055,6.76929998397827,125.035697937012,135.164901733398,2.66359996795654,7.58300018310547,16.149299621582,24.9720993041992,6.39580011367798,-190995.509746921,-20174.3397880113
"6",7,70.9872970581055,6.76929998397827,125.035697937012,135.164901733398,2.66359996795654,7.58300018310547,16.149299621582,24.9720993041992,6.39580011367798,-190995.509746921,-20174.3397880113
"7",7,77.8399963378906,0.713299989700317,123.639701843262,134.029006958008,2.61879992485046,7.49130010604858,16.1030006408691,24.9797992706299,6.47440004348755,-191264.796363473,-20412.7947083269
"8",15,76.879997253418,0,90.882698059082,110.335403442383,1.71200001239777,7.58669996261597,17.4860000610352,23.5986003875732,5.81300020217896,-185111.540958374,-31226.3869362632
"9",5,70.4690017700195,6.56769990921021,88.6072998046875,115.477996826172,1.85909998416901,8.61600017547607,17.4223003387451,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"10",7,70.9520034790039,6.84469985961914,123.522300720215,133.409805297852,2.5158998966217,7.48129987716675,16.1516990661621,25.0067005157471,6.31230020523071,-190427.007627438,-20309.6663465863
"11",15,72.3980026245117,7.10200023651123,80.1763000488281,96.8919982910156,1.44609999656677,6.69530010223389,17.8857002258301,29.2296009063721,4.88800001144409,-166318.130007237,-42518.5948869288
"12",15,68.7313003540039,5.13530015945435,188.759002685547,227.821197509766,7.17910003662109,6.9032998085022,16.7840003967285,32.665599822998,4.75279998779297,-138377.322670681,190047.650653321
"13",2,66.2873001098633,5.2923002243042,199.091705322266,241.548202514648,8.01459980010986,5.85069990158081,16.2716999053955,31.5818004608154,4.02510023117065,-150105.439642071,207407.461871457
"14",2,66.2873001098633,5.2923002243042,199.091705322266,241.548202514648,8.01459980010986,5.85069990158081,16.2716999053955,31.5818004608154,4.02510023117065,-150105.439642071,207407.461871457
"15",2,66.2873001098633,5.2923002243042,199.091705322266,241.548202514648,8.01459980010986,5.85069990158081,16.2716999053955,31.5818004608154,4.02510023117065,-150105.439642071,207407.461871457
"16",15,72.2266998291016,0,168.903305053711,194.39289855957,6.54040002822876,6.64569997787476,17.5352993011475,32.7186012268066,4.39989995956421,-124568.718445102,168215.603038653
"17",7,74.74169921875,0,152.445693969727,165.900100708008,4.79890012741089,4.13800001144409,15.7589998245239,31.2493991851807,2.43989992141724,-48632.4579892728,37898.41667961
"18",11,73.5869979858398,0,150.721694946289,167.739105224609,4.84619998931885,3.34270000457764,15.9593000411987,30.9290008544922,1.46659994125366,-46258.2782239094,40571.649218855
"19",15,75.9800033569336,0,107.002700805664,136.063095092773,2.02559995651245,6.62200021743774,17.2126998901367,27.1487007141113,4.86420011520386,-189867.044897024,-8102.02461123094
"20",15,68.2669982910156,6.35970020294189,114.257301330566,135.623992919922,2.71160006523132,7.49770021438599,16.2322998046875,25.1986999511719,6.67990016937256,-197185.495577203,-10075.7089178702
"21",15,68.1346969604492,6.70529985427856,104.221000671387,129.292999267578,2.4909999370575,7.20800018310547,17.0002994537354,24.5832996368408,5.86509990692139,-198305.140266405,-9917.89243749948
"22",15,76.0073013305664,0.152700006961823,132.751998901367,141.807998657227,3.6159999370575,7.48299980163574,15.4689998626709,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"23",15,74.1066970825195,0,111.234298706055,134.20280456543,2.6149001121521,7.32270002365112,16.5177001953125,24.9491004943848,6.19619989395142,-197580.097708628,-11158.3172254134
"24",15,75.0066986083984,0,115.569297790527,136.21110534668,2.74379992485046,7.41029977798462,16.2339992523193,25.0223999023438,6.48070001602173,-197295.971064687,-11438.6040162891
"25",15,75.0066986083984,0,115.569297790527,136.21110534668,2.74379992485046,7.41029977798462,16.2339992523193,25.0223999023438,6.48070001602173,-197295.971064687,-11438.6040162891
"26",15,73.9432983398438,0,103.607696533203,129.157897949219,2.49559998512268,7.16099977493286,17.1599998474121,24.2124004364014,5.73479986190796,-198459.672130703,-10136.6059647207
"27",4,68.4047012329102,6.93529987335205,101.431999206543,126.894798278809,2.33189988136292,7.22370004653931,17.2823009490967,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"28",15,68.2669982910156,6.35970020294189,114.257301330566,135.623992919922,2.71160006523132,7.49770021438599,16.2322998046875,25.1986999511719,6.67990016937256,-197185.495577203,-10075.7089178702
"29",4,68.4047012329102,6.93529987335205,101.431999206543,126.894798278809,2.33189988136292,7.22370004653931,17.2823009490967,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"30",15,70.4359970092773,0,157.545700073242,177.947601318359,6.94890022277832,4.02769994735718,15.9503002166748,31.6553993225098,2.09080004692078,-61634.5087275381,76802.9645249932
"31",7,63.1689987182617,0,207.115997314453,230.910598754883,8.19079971313477,1.48230004310608,15.0733003616333,30.3125991821289,0.20720000565052,-37891.3156156793,84584.8631677204
"32",15,58.515998840332,0,204.511001586914,226.979705810547,8.06789970397949,1.91600000858307,16.1797008514404,30.5757999420166,0.528599977493286,-41760.6712760423,83325.3157274388
"33",15,61.4586982727051,0,173.156997680664,232.085693359375,8.62530040740967,4.52799987792969,15.9017000198364,30.5923004150391,3.34419989585876,-307450.852502631,245898.761918699
"34",2,61.1946983337402,0,209.77799987793,265.372192382812,10.5749998092651,4.67199993133545,15.2270002365112,27.6315994262695,3.69320011138916,-342786.899710361,265054.153418188
"35",7,62.5180015563965,0,225.378295898438,286.387084960938,12.3991003036499,4.60869979858398,15.7926998138428,27.402099609375,3.78099989891052,-340434.030351259,243021.034027214
"36",7,60.2402992248535,0,265.990295410156,342.552093505859,11.1866998672485,3.70000004768372,14.0939998626709,29.2283992767334,3.03279995918274,-312037.015877599,235925.971234189
"37",15,55.8349990844727,28.5757007598877,56.682300567627,59.1142997741699,1.48230004310608,3.36470007896423,14.6133003234863,31.1795997619629,1.603600025177,99768.6922785814,-348935.612543597
"38",15,55.8349990844727,28.5757007598877,56.682300567627,59.1142997741699,1.48230004310608,3.36470007896423,14.6133003234863,31.1795997619629,1.603600025177,99768.6922785814,-348935.612543597
"39",15,63.6946983337402,0.862999975681305,113.688697814941,152.966995239258,2.54320001602173,2.83170008659363,17.3637008666992,32.219799041748,0.891099989414215,-243347.741396525,114929.953181879
