"","fvegHW90mask","aetapr_90m","cwdapr_90m","pptapr_90m","pptdjf_90m","pptjja_90m","tmnapr_90m","tmxapr_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,81.9720001220703,29.0412998199463,46.5830001831055,104.628898620605,1.85780000686646,6.83799982070923,19.261999130249,27.8148994445801,3.99469995498657,-148937.889891545,-46737.8962519984
"2",15,81.9720001220703,29.0412998199463,46.5830001831055,104.628898620605,1.85780000686646,6.83799982070923,19.261999130249,27.8148994445801,3.99469995498657,-148937.889891545,-46737.8962519984
"3",15,78.2710037231445,32.5923004150391,45.6139984130859,103.718002319336,1.85010004043579,7.4096999168396,19.0849990844727,27.1721000671387,5.09560012817383,-162215.532730336,-51905.5485201939
"4",15,78.2710037231445,32.5923004150391,45.6139984130859,103.718002319336,1.85010004043579,7.4096999168396,19.0849990844727,27.1721000671387,5.09560012817383,-162215.532730336,-51905.5485201939
"5",15,78.2882995605469,32.3849983215332,45.826301574707,104.012199401855,1.83290004730225,7.24830007553101,19.4169998168945,27.4743995666504,4.84810018539429,-161904.781861028,-54090.8079870436
"6",7,68.4427032470703,43.1772994995117,46.0439987182617,135.164901733398,2.66359996795654,8.22299957275391,18.1259994506836,24.9720993041992,6.39580011367798,-190995.509746921,-20174.3397880113
"7",5,63.1432991027832,49.2633018493652,38.3172988891602,115.477996826172,1.85909998416901,9.40369987487793,18.7546997070312,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"8",2,114.980003356934,0,82.4457015991211,164.4208984375,4.93499994277954,6.00729990005493,19.2432994842529,31.8910007476807,2.99090003967285,-55981.7640238265,45615.2509023086
"9",2,78.9339981079102,33.7760009765625,103.433700561523,241.548202514648,8.01459980010986,7.43270015716553,19.1947002410889,31.5818004608154,4.02510023117065,-150105.439642071,207407.461871457
"10",15,75.2866973876953,43.4933013916016,58.124698638916,117.956703186035,2.77010011672974,7.43030023574829,20.721700668335,33.236400604248,3.94779992103577,-74905.2084188122,36422.575957946
"11",15,109.546699523926,0.443300008773804,45.5979995727539,129.157897949219,2.49559998512268,8.06669998168945,18.9892997741699,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"12",15,99.6890029907227,11.1676998138428,46.8357009887695,132.285995483398,2.5132999420166,8.05370044708252,18.8502998352051,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"13",15,110.49299621582,0.753700017929077,44.9082984924316,127.366096496582,2.36730003356934,8.26270008087158,18.9440002441406,24.051700592041,5.83720016479492,-198798.868549884,-9628.11703160359
"14",15,99.6446990966797,9.61870002746582,50.2817001342773,141.807998657227,3.6159999370575,7.62069988250732,17.4493007659912,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"15",15,99.6890029907227,11.1676998138428,46.8357009887695,132.285995483398,2.5132999420166,8.05370044708252,18.8502998352051,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"16",15,86.7563018798828,23.6203002929688,46.0410003662109,130.31379699707,2.53999996185303,7.99569988250732,19.1243000030518,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"17",7,99.6362991333008,0,109.417999267578,277.790588378906,10.0240001678467,5.28929996490479,17.7880001068115,27.8416996002197,3.45329999923706,-332206.279336013,239287.403180808
"18",7,99.0893020629883,0,103.024696350098,246.92610168457,7.83960008621216,4.99900007247925,18.8332996368408,29.5041999816895,3.34960007667542,-323979.744849358,254026.751394588
"19",7,99.0893020629883,0,103.024696350098,246.92610168457,7.83960008621216,4.99900007247925,18.8332996368408,29.5041999816895,3.34960007667542,-323979.744849358,254026.751394588
"20",15,110.777702331543,0,62.5326995849609,207.220092773438,2.60820007324219,4.92000007629395,20.5009994506836,31.8111000061035,1.54990005493164,-228810.250284321,85336.7131496673
"21",15,68.814697265625,41.5519981384277,51.6106986999512,175.825897216797,2.65129995346069,6.09630012512207,19.6783008575439,31.8589992523193,3.37800002098083,-218963.09950071,93161.2862675292
"22",15,93.4960021972656,0,83.2539978027344,226.283294677734,5.53079986572266,2.03570008277893,19.9216995239258,32.5066986083984,-0.762000024318695,-252819.937781859,162342.419619684
"23",15,93.4960021972656,0,83.2539978027344,226.283294677734,5.53079986572266,2.03570008277893,19.9216995239258,32.5066986083984,-0.762000024318695,-252819.937781859,162342.419619684
"24",2,112.073303222656,0,61.6203002929688,196.695007324219,2.63739991188049,6.70329999923706,20.6233005523682,29.1128005981445,3.84220004081726,-238727.539799051,67878.3734258269
"25",8,65.2173004150391,71.0427017211914,42.9080009460449,123.503898620605,4.21979999542236,9.28829956054688,22.2546997070312,30.4736995697021,7.00509977340698,182119.542858222,-424578.499688916
"26",8,65.2173004150391,71.0427017211914,42.9080009460449,123.503898620605,4.21979999542236,9.28829956054688,22.2546997070312,30.4736995697021,7.00509977340698,182119.542858222,-424578.499688916
