"","fvegHW90mask","aetnov_90m","cwdnov_90m","pptnov_90m","pptdjf_90m","pptjja_90m","tmnnov_90m","tmxnov_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",2,36.1183013916016,4.75229978561401,110.482299804688,164.4208984375,4.93499994277954,5.3863000869751,16.2443008422852,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"2",2,36.1183013916016,4.75229978561401,110.482299804688,164.4208984375,4.93499994277954,5.3863000869751,16.2443008422852,31.8910007476807,2.99090003967285,-56006.8873390251,45626.7598213479
"3",15,33.5876998901367,7.56230020523071,80.2907028198242,125.222900390625,1.81959998607635,6.40129995346069,17.6443004608154,28.1429996490479,4.25570011138916,-175867.176341372,-27089.8908462478
"4",15,33.4443016052246,4.81969976425171,107.853698730469,150.714294433594,3.81279993057251,5.14370012283325,16.3159999847412,31.7007999420166,2.72769999504089,-88071.9186286326,97774.298845889
"5",15,32.0836982727051,4.22399997711182,107.00129699707,149.380996704102,3.94219994544983,6.11129999160767,16.7080001831055,32.8647994995117,3.76379990577698,-90179.8912312648,99942.4663755959
"6",5,34.6860008239746,4.10930013656616,109.706298828125,163.720397949219,4.34759998321533,4.44369983673096,17.1937007904053,32.3291015625,2.33870005607605,-73662.0578948181,74400.6630221941
"7",5,34.6860008239746,4.10930013656616,109.706298828125,163.720397949219,4.34759998321533,4.44369983673096,17.1937007904053,32.3291015625,2.33870005607605,-73662.0578948181,74400.6630221941
"8",7,35.1747016906738,1.95099997520447,158.317001342773,229.025802612305,8.15330028533936,2.53329992294312,15.3857002258301,30.4944000244141,0.501699984073639,-40063.2431389146,85199.8298610854
"9",7,34.8602981567383,2.0443000793457,157.585693359375,227.598403930664,8.035400390625,2.40429997444153,14.898699760437,29.9018993377686,0.252600014209747,-43487.6978134123,85031.5901203877
"10",15,32.9603004455566,1.59029996395111,157.785705566406,227.977798461914,8.10179996490479,2.43129992485046,15.6097002029419,30.4687995910645,0.477699995040894,-41997.487705572,84035.6868151785
"11",15,33.4620018005371,4.56300020217896,95.9980010986328,138.755004882812,3.50169992446899,5.85029983520508,17.0792999267578,32.5638008117676,3.6686999797821,-77551.3131061004,87536.4231116269
"12",15,28.5002994537354,0.0820000022649765,168.037002563477,232.085693359375,8.62530040740967,4.97599983215332,14.8826999664307,30.5923004150391,3.34419989585876,-307450.852502631,245898.761918699
"13",15,25.0842990875244,1.10669994354248,166.611694335938,226.283294677734,5.53079986572266,0.675300002098083,15.7896995544434,32.5066986083984,-0.762000024318695,-252819.937781859,162342.419619684
"14",15,25.0842990875244,1.10669994354248,166.611694335938,226.283294677734,5.53079986572266,0.675300002098083,15.7896995544434,32.5066986083984,-0.762000024318695,-252819.937781859,162342.419619684
"15",5,26.7686996459961,2.15630006790161,142.254302978516,198.062896728516,4.97009992599487,2.16000008583069,15.7117004394531,31.3607006072998,0.565100014209747,-254387.141540803,141383.171993049
"16",15,24.8349990844727,1.06200003623962,167.949295043945,227.894104003906,5.52860021591187,0.62830001115799,15.871000289917,32.3571014404297,-0.861999988555908,-251901.619932219,161902.630486879
"17",15,24.8349990844727,1.06200003623962,167.949295043945,227.894104003906,5.52860021591187,0.62830001115799,15.871000289917,32.3571014404297,-0.861999988555908,-251901.619932219,161902.630486879
"18",15,30.9132995605469,5.6532998085022,104.843299865723,175.825897216797,2.65129995346069,5.3572998046875,16.6133003234863,31.8589992523193,3.37800002098083,-218963.09950071,93161.2862675292
"19",7,31.9272994995117,2.37069988250732,183.500701904297,274.257293701172,5.17640018463135,5.73570013046265,14.0607004165649,29.9034004211426,3.20609998703003,-233943.096611678,93813.0760562387
"20",8,40.092700958252,29.9172992706299,59.3203010559082,146.007202148438,3.44689989089966,7.75029993057251,19.1459999084473,28.1900997161865,5.00239992141724,203460.301642687,-420686.219086003
"21",8,40.092700958252,29.9172992706299,59.3203010559082,146.007202148438,3.44689989089966,7.75029993057251,19.1459999084473,28.1900997161865,5.00239992141724,203460.301642687,-420686.219086003
"22",8,40.092700958252,29.9172992706299,59.3203010559082,146.007202148438,3.44689989089966,7.75029993057251,19.1459999084473,28.1900997161865,5.00239992141724,203460.301642687,-420686.219086003
"23",8,40.092700958252,29.9172992706299,59.3203010559082,146.007202148438,3.44689989089966,7.75029993057251,19.1459999084473,28.1900997161865,5.00239992141724,203460.301642687,-420686.219086003
"24",8,36.9253005981445,26.5112991333008,55.7210006713867,138.951995849609,3.56970000267029,9.06830024719238,21.2252998352051,30.2444000244141,6.4608998298645,204951.550544053,-418801.332126393
"25",8,36.9253005981445,26.5112991333008,55.7210006713867,138.951995849609,3.56970000267029,9.06830024719238,21.2252998352051,30.2444000244141,6.4608998298645,204951.550544053,-418801.332126393
"26",8,36.9253005981445,26.5112991333008,55.7210006713867,138.951995849609,3.56970000267029,9.06830024719238,21.2252998352051,30.2444000244141,6.4608998298645,204951.550544053,-418801.332126393
"27",8,36.9253005981445,26.5112991333008,55.7210006713867,138.951995849609,3.56970000267029,9.06830024719238,21.2252998352051,30.2444000244141,6.4608998298645,204951.550544053,-418801.332126393
"28",8,41.0553016662598,39.5180015563965,50.766300201416,134.658096313477,2.72989988327026,9.22369956970215,20.8432998657227,30.7500991821289,6.57469987869263,212806.836368037,-426012.337522858
"29",8,41.0553016662598,39.5180015563965,50.766300201416,134.658096313477,2.72989988327026,9.22369956970215,20.8432998657227,30.7500991821289,6.57469987869263,212806.836368037,-426012.337522858
