"","fvegHW90mask","aetjun_90m","cwdjun_90m","pptjun_90m","pptdjf_90m","pptjja_90m","tmnjun_90m","tmxjun_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",5,3.76999998092651,157.373306274414,3.76999998092651,115.477996826172,1.85909998416901,12.3577003479004,21.9533004760742,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"2",5,7.87400007247925,159.969299316406,3.31069993972778,89.8442993164062,1.49600005149841,12.9483003616333,23.9612998962402,24.7115993499756,6.08869981765747,-180576.241105654,-41377.5457223682
"3",15,8.70870018005371,150.544692993164,7.23899984359741,141.807998657227,3.6159999370575,11.0286998748779,22.7273006439209,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"4",15,27.7626991271973,134.917297363281,5.03030014038086,129.157897949219,2.49559998512268,11.4643001556396,23.4053001403809,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"5",15,8.70870018005371,150.544692993164,7.23899984359741,141.807998657227,3.6159999370575,11.0286998748779,22.7273006439209,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"6",7,103.684997558594,51.3782997131348,52.8839988708496,387.300415039062,25.1028995513916,9.65999984741211,24.8526992797852,26.5650997161865,3.17600011825562,-329592.559352073,432965.955815393
"7",7,110.089698791504,33.4636993408203,56.5133018493652,423.4130859375,27.2830009460449,8.99429988861084,23.4062995910645,26.0459003448486,1.58770000934601,-327495.837070793,433895.061503246
"8",7,104.074699401855,47.9352989196777,53.2047004699707,389.495208740234,25.2709999084473,9.40499973297119,23.8512992858887,25.410400390625,2.73219990730286,-334771.580646709,432998.95216433
"9",7,140.343994140625,10.649299621582,27.0149993896484,282.857788085938,16.4463005065918,9.68430042266846,28.0370006561279,31.5307006835938,0.441900014877319,-297691.86545911,376630.258279313
"10",7,120.865699768066,28.5643005371094,23.3463001251221,231.343002319336,12.4621000289917,10.6149997711182,28.8733005523682,31.9608993530273,2.62680006027222,-295517.031576946,370627.817096775
"11",2,109.985000610352,71.7949981689453,15.3999996185303,206.435195922852,6.55830001831055,12.8636999130249,28.3512992858887,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"12",2,109.985000610352,71.7949981689453,15.3999996185303,206.435195922852,6.55830001831055,12.8636999130249,28.3512992858887,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"13",15,85.492301940918,88.7677001953125,6.70499992370605,202.842407226562,3.02369999885559,10.7543001174927,28.8910007476807,30.7992992401123,4.66400003433228,-221853.209574505,39284.3713840549
"14",7,28.4699993133545,118.766700744629,19.4209995269775,250.999206542969,11.4558000564575,9.21700000762939,28.2696990966797,31.6882991790771,1.86909997463226,-302063.059753077,328178.795654089
"15",7,28.4699993133545,118.766700744629,19.4209995269775,250.999206542969,11.4558000564575,9.21700000762939,28.2696990966797,31.6882991790771,1.86909997463226,-302063.059753077,328178.795654089
"16",2,5.66200017929077,171.664703369141,5.66200017929077,121.487602233887,2.4818000793457,12.7040004730225,29.9619998931885,32.2186012268066,3.57870006561279,-194488.854841787,92722.5480787111
"17",2,5.66200017929077,171.664703369141,5.66200017929077,121.487602233887,2.4818000793457,12.7040004730225,29.9619998931885,32.2186012268066,3.57870006561279,-194488.854841787,92722.5480787111
