"","fvegHW90mask","aetjan_90m","cwdjan_90m","pptjan_90m","pptdjf_90m","pptjja_90m","tmnjan_90m","tmxjan_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,31.1620006561279,0.0892999991774559,125.318298339844,121.468597412109,2.01780009269714,5.10300016403198,12.9547004699707,24.843599319458,5.4640998840332,-185784.75625184,-25874.1033316948
"2",5,30.3673000335693,0,120.285003662109,118.538803100586,1.82179999351501,5.70669984817505,13.8753004074097,23.2644004821777,6.16520023345947,-188362.216624062,-26616.8830096158
"3",5,31.17799949646,0.0386999994516373,118.552299499512,115.477996826172,1.85909998416901,6.45170021057129,13.9707002639771,22.2527008056641,6.94379997253418,-197295.956817071,-18114.9393746168
"4",15,28.9197006225586,0.162000000476837,74.7910003662109,72.35009765625,1.17190003395081,3.51270008087158,13.6586999893188,29.8691005706787,3.99200010299683,-156700.694561085,-40213.9471882391
"5",2,23.5009994506836,0.182699993252754,243.626007080078,241.548202514648,8.01459980010986,3.83270001411438,12.5797004699707,31.5818004608154,4.02510023117065,-150105.439642071,207407.461871457
"6",2,23.5009994506836,0.182699993252754,243.626007080078,241.548202514648,8.01459980010986,3.83270001411438,12.5797004699707,31.5818004608154,4.02510023117065,-150105.439642071,207407.461871457
"7",15,31.7096996307373,0,136.330001831055,130.801193237305,2.26659989356995,5.74870014190674,12.1726999282837,26.5785999298096,6.09880018234253,-178534.523444675,-23019.1761366609
"8",15,28.430700302124,0,134.827697753906,135.184906005859,2.01189994812012,3.97029995918274,12.6770000457764,27.3076000213623,4.36229991912842,-189848.477743184,-8057.96993377572
"9",15,28.430700302124,0,134.827697753906,135.184906005859,2.01189994812012,3.97029995918274,12.6770000457764,27.3076000213623,4.36229991912842,-189848.477743184,-8057.96993377572
"10",5,29.0002994537354,0.0103000001981854,99.810302734375,96.8671035766602,1.41509997844696,3.80329990386963,13.3760004043579,28.9141998291016,4.34240007400513,-172079.255920352,-18384.8595164698
"11",15,28.5900001525879,0,130.305297851562,130.118698120117,2.50469994544983,5.39870023727417,12.9899997711182,24.2800998687744,5.8270001411438,-198318.115717887,-10462.4557697559
"12",8,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073316,-9926.46037186403
"13",8,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073316,-9926.46037186403
"14",8,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073316,-9926.46037186403
"15",8,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073316,-9926.46037186403
"16",8,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073316,-9926.46037186403
"17",8,29.5027008056641,0,129.943298339844,129.718307495117,2.55769991874695,5.29099988937378,12.93630027771,25.5743007659912,5.6956000328064,-197945.228073316,-9926.46037186403
"18",15,28.5900001525879,0,130.305297851562,130.118698120117,2.50469994544983,5.39870023727417,12.9899997711182,24.2800998687744,5.8270001411438,-198318.115717887,-10462.4557697559
"19",4,30.3299999237061,0,133.559005737305,137.328002929688,2.72709989547729,6.47629976272583,12.4006996154785,25.1030006408691,6.83010005950928,-197569.268971286,-10369.0667945175
"20",15,29.6399993896484,0,132.740997314453,135.623992919922,2.71160006523132,6.33400011062622,12.5023002624512,25.1986999511719,6.67990016937256,-197185.495577203,-10075.7089178702
"21",15,29.5779991149902,0,128.766998291016,127.366096496582,2.36730003356934,5.37169981002808,13.2327003479004,24.051700592041,5.83720016479492,-198856.809466164,-9479.95056314208
"22",4,29.6709995269775,0,128.447006225586,126.894798278809,2.33189988136292,5.32270002365112,13.2919998168945,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"23",4,29.6709995269775,0,128.447006225586,126.894798278809,2.33189988136292,5.32270002365112,13.2919998168945,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"24",7,20.528299331665,0,230.608001708984,225.704299926758,8.03339958190918,0.326999992132187,12.2987003326416,30.6499004364014,0.404799997806549,-42985.8906436487,84071.9140542522
