"","fvegHW90mask","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",4,29.0387001037598,1.12800002098083,129.985000610352,132.714096069336,2.72480010986328,6.2846999168396,13.0193004608154,24.0240001678467,6.53289985656738,-197252.278909356,-14007.2042245218
"2",15,27.7992992401123,0,155.229293823242,159.222595214844,4.63870000839233,2.96099996566772,12.7019996643066,31.9466991424561,3.39580011367798,-59566.799650975,43050.1646698317
"3",7,18.6730003356934,0,350.194702148438,330.636199951172,10.0117998123169,2.41669988632202,10.6429996490479,28.6961002349854,2.16420006752014,-115379.454444659,186898.218268151
"4",15,23.9087009429932,1.01730000972748,87.7003021240234,92.5675964355469,2.13229990005493,3.38269996643066,12.6553001403809,33.9037017822266,4.01380014419556,-78455.2946176772,22637.150041379
"5",15,23.9087009429932,1.01730000972748,87.7003021240234,92.5675964355469,2.13229990005493,3.38269996643066,12.6553001403809,33.9037017822266,4.01380014419556,-78455.2946176772,22637.150041379
"6",7,11.7946996688843,0,215.684295654297,228.681900024414,7.11990022659302,-0.735300004482269,8.92899990081787,27.6527996063232,-0.272700011730194,-24245.9273796909,27252.6658885581
"7",15,17.9950008392334,0.806999981403351,112.040000915527,116.098197937012,2.49110007286072,1.3293000459671,13.2056999206543,33.9875984191895,1.85759997367859,-202875.988433042,107178.903846407
"8",2,27.7490005493164,0.874300003051758,136.485702514648,137.130401611328,2.81489992141724,6.3270001411438,12.3896999359131,25.5589008331299,6.69840002059937,-197243.934686294,-10540.2443251805
"9",2,27.7490005493164,0.874300003051758,136.485702514648,137.130401611328,2.81489992141724,6.3270001411438,12.3896999359131,25.5589008331299,6.69840002059937,-197243.934686294,-10540.2443251805
"10",2,27.7490005493164,0.874300003051758,136.485702514648,137.130401611328,2.81489992141724,6.3270001411438,12.3896999359131,25.5589008331299,6.69840002059937,-197243.934686294,-10540.2443251805
"11",15,27.0862998962402,0.865299999713898,123.829002380371,128.342102050781,2.40689992904663,5.48169994354248,13.2593002319336,23.9696006774902,5.67600011825562,-198490.204194678,-9906.8089010613
"12",4,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
