"species","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"Ixodes pacificus",-327494.6972,433894.445955,110.278999328613,34.8546981811523,56.7630004882812,8.89400005340576,24.4169998168945,7,63,134,17
"Ixodes pacificus",-329591.419305,432965.34026,103.684997558594,51.3782997131348,52.8839988708496,9.65999984741211,24.8526992797852,7,63,134,17
"Ixodes pacificus",-334770.440225,432998.336459,104.074996948242,47.9352989196777,53.2047004699707,9.40499973297119,23.8512992858887,7,64,139,17
"Ixodes pacificus",-297690.726189,376629.647013,140.343994140625,10.649299621582,27.0149993896484,9.68430042266846,28.0370006561279,7,65,140,17
"Ixodes pacificus",-295515.892293,370627.206266,120.865997314453,28.5643005371094,23.3463001251221,10.6149997711182,28.8733005523682,7,65,140,18
"Ixodes pacificus",-302061.918681,328178.187268,28.4699993133545,118.766998291016,19.4209995269775,9.21700000762939,28.2696990966797,7,64,142,18
"Ixodes pacificus",-302061.918681,328178.187268,28.4699993133545,118.766998291016,19.4209995269775,9.21700000762939,28.2696990966797,7,64,142,18
"Ixodes pacificus",-258452.186569,147182.995225,26.4172992706299,136.929000854492,13.5909996032715,10.3920001983643,27.1480007171631,7,54,158,19
"Ixodes pacificus",-115504.722182,145775.308178,16.1877002716064,164.845993041992,12.5853004455566,13.7709999084473,30.104700088501,6,48,170,18
"Ixodes pacificus",-104072.199048,143032.058945,118.532997131348,66.3803024291992,13.1149997711182,14.1660003662109,31.6912994384766,6,48,170,18
"Ixodes pacificus",-103043.762479,142574.460548,16.4230003356934,166.973999023438,13.298999786377,13.7819995880127,31.1247005462646,6,48,170,19
"Ixodes pacificus",-103043.762479,142574.460548,16.4230003356934,166.973999023438,13.298999786377,13.7819995880127,31.1247005462646,6,48,170,19
"Ixodes pacificus",-103043.762479,142574.460548,16.4230003356934,166.973999023438,13.298999786377,13.7819995880127,31.1247005462646,6,48,170,19
"Ixodes pacificus",-106773.284928,141444.25014,19.7562999725342,162.367004394531,12.7903003692627,14.1330003738403,31.0923004150391,6,50,170,18
"Ixodes pacificus",-106773.284928,141444.25014,19.7562999725342,162.367004394531,12.7903003692627,14.1330003738403,31.0923004150391,6,50,170,18
"Ixodes pacificus",-109021.256374,140940.450784,16.8922996520996,163.981002807617,12.3299999237061,14.0283002853394,30.5207004547119,6,50,167,18
"Ixodes pacificus",-81461.6134876,121981.844958,17.0412998199463,163.434997558594,15.1300001144409,12.8409996032715,28.9153003692627,6,55,139,22
"Ixodes pacificus",-81839.0269747,121478.781721,109.985000610352,71.7949981689453,15.3999996185303,12.8636999130249,28.3512992858887,2,55,140,22
"Ixodes pacificus",-81839.0269747,121478.781721,109.985000610352,71.7949981689453,15.3999996185303,12.8636999130249,28.3512992858887,2,55,140,22
"Ixodes pacificus",-81839.0269747,121478.781721,109.985000610352,71.7949981689453,15.3999996185303,12.8636999130249,28.3512992858887,2,55,140,22
"Ixodes pacificus",-243346.597064,114929.36175,6.87930011749268,165.811004638672,5.50699996948242,10.2510004043579,29.3607006072998,6,49,163,19
"Ixodes pacificus",-82406.7402592,106073.662918,19.6676998138428,157.281997680664,10.8452997207642,12.9013004302979,28.3843002319336,6,55,139,22
"Ixodes pacificus",-200336.042573,101556.91028,5.7367000579834,169.826995849609,5.7367000579834,12.8680000305176,31.3917007446289,6,47,145,17
"Ixodes pacificus",-194487.713568,92721.9603803,5.66200017929077,171.664993286133,5.66200017929077,12.7040004730225,29.9619998931885,2,46,144,17
"Ixodes pacificus",-194487.713568,92721.9603803,5.66200017929077,171.664993286133,5.66200017929077,12.7040004730225,29.9619998931885,2,46,144,17
"Ixodes pacificus",-90966.8270969,84454.1095212,-9999,-9999,7.90430021286011,13.774299621582,30.4300003051758,6,48,172,19
"Ixodes pacificus",-90966.8270969,84454.1095212,-9999,-9999,7.90430021286011,13.774299621582,30.4300003051758,6,48,172,19
"Ixodes pacificus",-219650.865838,62265.7974379,26.4666996002197,151.382995605469,5.80970001220703,11.2419996261597,29.7462997436523,7,47,172,17
"Ixodes pacificus",-219650.865838,62265.7974379,26.4666996002197,151.382995605469,5.80970001220703,11.2419996261597,29.7462997436523,7,47,172,17
"Ixodes pacificus",-219650.865838,62265.7974379,26.4666996002197,151.382995605469,5.80970001220703,11.2419996261597,29.7462997436523,7,47,172,17
"Ixodes pacificus",-219650.865838,62265.7974379,26.4666996002197,151.382995605469,5.80970001220703,11.2419996261597,29.7462997436523,7,47,172,17
"Ixodes pacificus",-261893.940077,62497.7371097,19.028299331665,149.951995849609,7.40570020675659,10.5819997787476,26.1690006256104,7,53,164,17
"Ixodes pacificus",-187182.196395,55088.6624813,5.18529987335205,174.901000976562,3.7386999130249,12.5120000839233,30.3577003479004,6,45,161,17
"Ixodes pacificus",-231237.869278,51217.3957569,5.77430009841919,165.348999023438,5.77430009841919,11.0787000656128,26.5212993621826,6,46,174,15
"Ixodes pacificus",-43626.8170819,47874.7835972,33.1943016052246,138.845993041992,13.4022998809814,10.8066997528076,28.153299331665,7,58,133,17
"Ixodes pacificus",-55923.9542294,45614.2892621,65.581298828125,118.851997375488,12.5349998474121,13.3482999801636,29.11669921875,2,55,142,21
"Ixodes pacificus",-221831.856821,39907.0940507,6.36770009994507,168.082000732422,6.36770009994507,10.8610000610352,28.7992992401123,7,45,176,15
"Ixodes pacificus",-221852.063724,39283.7867239,85.492301940918,88.7677001953125,6.70499992370605,10.7543001174927,28.8910007476807,6,45,178,15
