"species","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"Ixodes pacificus",-203298.097893,333595.025654,14.226300239563,0,262.463989257812,2.08200001716614,10.7523002624512,7,61,149,20
"Ixodes pacificus",-203075.700487,333697.059641,14.226300239563,0,262.463989257812,2.08200001716614,10.7523002624512,6,60,148,20
"Ixodes pacificus",-203075.700487,333697.059641,14.226300239563,0,262.463989257812,2.08200001716614,10.7523002624512,6,60,148,20
"Ixodes pacificus",-203075.700487,333697.059641,14.226300239563,0,262.463989257812,2.08200001716614,10.7523002624512,6,60,148,20
"Ixodes pacificus",-189322.376648,327381.214373,16.0937004089355,0,300.192993164062,1.50699996948242,11.1192998886108,6,62,149,20
"Ixodes pacificus",-189801.019264,327311.52516,15.8807001113892,0,299.855010986328,1.34500002861023,10.8520002365112,6,62,149,20
"Ixodes pacificus",-203625.98443,327321.994788,15.5426998138428,0,270.753997802734,2.35999989509583,11.2896995544434,8,60,152,20
"Ixodes pacificus",-188186.166463,326317.340189,15.3199996948242,0,302.968994140625,1.46370005607605,10.7959995269775,6,62,152,20
"Ixodes pacificus",-188186.166463,326317.340189,15.3199996948242,0,302.968994140625,1.46370005607605,10.7959995269775,6,62,152,20
"Ixodes pacificus",-189959.943153,319383.054738,17.6882991790771,0,293.126007080078,1.99399995803833,11.9433002471924,7,61,154,20
"Ixodes pacificus",-237128.433493,306808.313636,11.1339998245239,0,142.292999267578,0.0399999991059303,8.62370014190674,7,60,161,19
"Ixodes pacificus",-202114.45744,299680.469715,20.7943000793457,0,259.657012939453,3.91100001335144,12.3627004623413,5,56,161,20
"Ixodes pacificus",-202114.45744,299680.469715,20.7943000793457,0,259.657012939453,3.91100001335144,12.3627004623413,5,56,161,20
"Ixodes pacificus",-202114.45744,299680.469715,20.7943000793457,0,259.657012939453,3.91100001335144,12.3627004623413,5,56,161,20
"Ixodes pacificus",-196045.671498,292008.016715,19.0342998504639,0,200.035003662109,3.20770001411438,13.2243003845215,6,44,153,16
"Ixodes pacificus",-207110.463107,291064.55997,19.8756999969482,0,217.813995361328,3.39400005340576,13.1883001327515,5,54,151,20
"Ixodes pacificus",-202072.6864,290141.262698,20.2516994476318,0,204.807006835938,3.53430008888245,13.3496999740601,6,46,151,16
"Ixodes pacificus",-201055.86072,289354.002064,19.2187004089355,0,190.957000732422,2.98469996452332,13.4329996109009,6,46,151,16
"Ixodes pacificus",-201055.86072,289354.002064,19.2187004089355,0,190.957000732422,2.98469996452332,13.4329996109009,6,46,151,16
"Ixodes pacificus",-182196.54321,280565.782276,18.4913005828857,0,159.667999267578,3.08369994163513,12.93630027771,6,44,163,17
"Ixodes pacificus",-182196.54321,280565.782276,18.4913005828857,0,159.667999267578,3.08369994163513,12.93630027771,6,44,163,17
"Ixodes pacificus",-211782.015986,278119.903237,19.1597003936768,0,181.729995727539,2.99469995498657,13.0832996368408,6,43,145,15
"Ixodes pacificus",-198577.090658,277764.36585,18.1979999542236,0,158.981002807617,2.54069995880127,13.0747003555298,6,43,146,16
"Ixodes pacificus",-192272.16705,275202.300523,18.1597003936768,0,149.794998168945,2.45000004768372,13.0227003097534,6,43,147,16
"Ixodes pacificus",-192272.16705,275202.300523,18.1597003936768,0,149.794998168945,2.45000004768372,13.0227003097534,6,43,147,16
"Ixodes pacificus",-157909.942016,274992.455558,10.9567003250122,0,164.307998657227,-0.473699986934662,9.31999969482422,7,59,147,19
"Ixodes pacificus",-192236.58455,274753.579559,18.06369972229,0,148.397003173828,2.4449999332428,13.0120000839233,6,43,147,16
"Ixodes pacificus",-192236.58455,274753.579559,18.06369972229,0,148.397003173828,2.4449999332428,13.0120000839233,6,43,147,16
"Ixodes pacificus",-194569.60702,270664.041977,18.0977001190186,0,157.156997680664,2.68199992179871,13.0469999313354,6,44,146,15
"Ixodes pacificus",-169353.745884,269973.111487,18.9860000610352,0,144.453994750977,3.13369989395142,12.4022998809814,6,47,169,18
"Ixodes pacificus",-169353.745884,269973.111487,18.9860000610352,0,144.453994750977,3.13369989395142,12.4022998809814,6,47,169,18
"Ixodes pacificus",-340439.546082,266843.639828,21.7786998748779,0,251.498001098633,3.50430011749268,11.6470003128052,2,57,151,15
"Ixodes pacificus",-88693.7711248,211834.040469,1.73329997062683,0,183.723999023438,-3.24699997901917,7.20300006866455,7,63,118,13
"Ixodes pacificus",-310637.516171,207856.131027,16.4080009460449,0,334.226013183594,1.39530003070831,11.7652997970581,8,54,147,18
"Ixodes pacificus",-150104.306524,207406.867081,23.5009994506836,0.182699993252754,243.626007080078,3.83270001411438,12.5797004699707,2,48,170,17
"Ixodes pacificus",-150104.306524,207406.867081,23.5009994506836,0.182699993252754,243.626007080078,3.83270001411438,12.5797004699707,2,48,170,17
"Ixodes pacificus",-78317.9732612,169661.093353,10.8823003768921,0,264.877990722656,-1.08529996871948,10.0496997833252,7,56,119,18
"Ixodes pacificus",-78317.9732612,169661.093353,10.8823003768921,0,264.877990722656,-1.08529996871948,10.0496997833252,7,56,119,18
"Ixodes pacificus",-290978.260171,163876.247164,18.6809997558594,0,252.27799987793,0.97869998216629,11.8680000305176,7,57,156,16
"Ixodes pacificus",-289471.383302,160264.34806,17.9290008544922,0,239.654006958008,0.584699988365173,12.3549995422363,7,54,150,18
"Ixodes pacificus",-99353.942396,157509.954922,21.5312995910645,0,281.709014892578,1.09630000591278,12.6597003936768,6,56,141,19
"Ixodes pacificus",-99353.942396,157509.954922,21.5312995910645,0,281.709014892578,1.09630000591278,12.6597003936768,6,56,141,19
