"species","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"Ixodes pacificus",-360947.337635,292548.383288,41.0666999816895,17.6567001342773,56.0740013122559,8.08600044250488,18.3087005615234,5,60,179,15
"Ixodes pacificus",-258452.186569,147182.995225,51.157299041748,27.7793006896973,66.0692977905273,9.02070045471191,23.4493007659912,7,54,158,19
"Ixodes pacificus",-243346.597064,114929.36175,33.7299995422363,40.7799987792969,37.8839988708496,5.60169982910156,24.2019996643066,6,49,163,19
"Ixodes pacificus",-237256.986213,108456.290498,36.4846992492676,39.065299987793,42.4286994934082,8.5846996307373,23.7269992828369,8,48,163,19
"Ixodes pacificus",-90516.7874155,84729.2687404,35.3950004577637,48.6217002868652,38.8712997436523,10.0559997558594,24.9073009490967,8,49,169,19
"Ixodes pacificus",-90966.8270969,84454.1095212,-9999,-9999,37.7882995605469,10.3170003890991,24.9950008392334,6,48,172,19
"Ixodes pacificus",-225969.492805,73834.3904774,47.4766998291016,31.7733001708984,61.3297004699707,10.1197004318237,21.8903007507324,7,45,177,18
"Ixodes pacificus",-199180.417978,-9141.39172557,32.9733009338379,47.4700012207031,34.807300567627,10.6016998291016,22.1760005950928,4,48,195,18
"Ixodes pacificus",-199180.417978,-9141.39172557,32.9733009338379,47.4700012207031,34.807300567627,10.6016998291016,22.1760005950928,4,48,195,18
"Ixodes pacificus",-199180.417978,-9141.39172557,32.9733009338379,47.4700012207031,34.807300567627,10.6016998291016,22.1760005950928,4,48,195,18
"Ixodes pacificus",-180685.204021,-79407.8196132,27.132999420166,57.173698425293,28.1476993560791,9.34869956970215,24.32200050354,5,47,179,15
"Ixodes pacificus",-67547.7725591,-298411.964496,24.0030002593994,68.423698425293,26.5706996917725,9.87569999694824,22.9666996002197,5,49,192,18
